source_string,target_string,latin,arabic_script,english
"ⵏⵉⵔ ⵉ ⴷ ⴰⵣⴳⴳⵯⴰⵖ, ⵉⴼⴼⵖ ⴷ ⴷ ⴰⵣⵉⵣⴰ, ⵏⵜⵜⵛ ⵉ ⴷ ⴰⵎⵍⵍⴰⵍ  -ⵉⵔⴷⵏ",رميناه أحمرا وخرج أخضرا وأكلناه أبيضا!– القمح.,"nir i d azggⵯagh, iffgh d d aziza, nttsh i d amllal  -irdn","نير ي د ازڭڭⵯاغ, يففغ د د ازيزا, نتتش ي د امللال  -يردن","We threw it red, it came out green, and we ate it white! – Wheat."
"ⵏⵜⴻⵜⵜ ⵉ, ⵎⴰ ⵏⵖⴼⵍ ⴰⴷ ⴰⵏⵖ ⵉⵜⵜⵛ  -ⴰⵙⵍⵎ",نأكله وإذا غفلنا سيأكلنا!– السمك.,"ntett i, ma nghfl ad angh ittsh  -aslm","نت°تت ي, ما نغفل اد انغ يتتش  -اسلم","We eat it, and if we are careless, it will eat us! – Fish."
"ⵏⵜⵜⴰ ⴰⵎ ⵍⵓⵇⵉⵢⵢⴰ, ⵉⵎⵉ ⵏⵏⵙ ⴷ ⴰⴽⵛⵛⵓⵟ  -ⴰⵊⵟⵉⵟ",هو كالأوقية وفمه من خشب!– العصفور.,"ntta am luqiyya, imi nns d akshshuṭ  -ajṭiṭ","نتتا ام لوقيييا, يمي ننس د اكششوط  -اجطيط","""He is like an ounce, and his mouth is made of wood! – The bird."""
"ⵇⵍⵓⵍⵍⵓ ⴱⵍⵓⵍⵍⵓ, ⴰⵎⵎⴰⵙ ⵏⵏⵙ ⴷ ⴰⵡⵔⴰⵖ  -ⵜⴰⵎⵍⵍⴰⵍⵜ","""قللو بللو"" (الشيء الصغير المنتفخ) وسطه أصفر!– البيضة.","qlullu blullu, ammas nns d awragh  -tamllalt","قلوللو بلوللو, امماس ننس د اوراغ  -تامللالت","""Qallalo Ballalo"" (the small puffy thing) with a yellow center! – The egg."
"ⵇⵍⵓⵍⵍⵓ ⴱⵍⵓⵍⵍⵓ, ⴰⵎⵎⴰⵙ ⵏⵏⵙ ⴷ ⵜⴰⴽⵜⵛⴰ  -ⴰⵣⴳⴳⵯⴰⵔ","""قللو بللو"" (الشيء الصغير المنتفخ) وسطه دودة!– التينة.","qlullu blullu, ammas nns d taktsha  -azggⵯar","قلوللو بلوللو, امماس ننس د تاكتشا  -ازڭڭⵯار","""Qallalo Ballalo"" (the small swollen thing) has a worm inside it! – The fig."
"ⵇⵟⵉⵟ ⵓⴱⵇⵟⵉⵟ, ⵉⵙⵙⵏⴳⵓⴳⵓ ⵢⴰⵇⵛⴱⵓⵕ  -ⵛⵓⵔⴷⵓ",شيء (مخلوق) صغير يحرك جذع الشجرة!– البرغوث.,"qṭiṭ ubqṭiṭ, issngugu yaqshbuṛ  -shurdu","قطيط وبقطيط, يسسنڭوڭو ياقشبور  -شوردو",A small (creature) moves the tree trunk! – The flea.
"ⵔⴱⵄⴰ ⵏ ⵜⵎⵖⴰⵔⵉⵏ, ⵓⵔ ⵜⵜⵎⵙⵍⵍⵉⵎⵏⵜ ⴷⴳ ⵡⴰⵙⵙ ⵏ ⵍⵄⵉⴷ  -ⵜⵉⵖⵎⵔⵉⵏ ⵏ ⵓⵅⵅⴰⵎ",أربع عجائز لا تتبادلن التحايا يوم العيد!– زوايا البيت.,"rb3a n tmgharin, ur ttmsllimnt dg wass n l3id  -tighmrin n ukhkham","ربعا ن تمغارين, ور تتمسلليمنت دڭ واسس ن لعيد  -تيغمرين ن وخخام","""Four elderly women do not exchange greetings on the day of Eid! – The corners of the house."""
"ⵔⴱⵄⴰ ⵏ ⵓⵊⵏⵏⴰ, ⵔⴱⵄⴰ ⵏ ⵜⵎⵓⵔⵜ, ⵔⴱⵄⴰ ⵏ ⵍⴰⵍⵍ ⵏ ⵓⵅⵅⴰⵎ  -ⴰⵛⵛⴰⵡⵏ ⴷ ⵉⵎⵊⵊⴰⵏ ⵏ ⵜⴼⵓⵏⴰⵙⵜ ⴷ ⵢⵉⵟⴰⵕⵏ ⵏⵏⵙ ⴷ ⵢⵉⴼⴼⴰⵏ ⵏⵏⵙ",أربعة للسماء وأربعة للأرض وأربعة لسيدة المنزل!–  قرنا وأذنا البقرة وقوائمها وأضرعها.,"rb3a n ujnna, rb3a n tmurt, rb3a n lall n ukhkham  -ashshawn d imjjan n tfunast d yiṭaṛn nns d yiffan nns","ربعا ن وجننا, ربعا ن تمورت, ربعا ن لالل ن وخخام  -اششاون د يمججان ن تفوناست د ييطارن ننس د ييففان ننس","""Four for the sky, four for the earth, and four for the lady of the house! – The horns and ears of the cow, its legs, and its udders."""
"ⵔⴱⵄⴰ ⵜⵜⴰⵣⵣⵍⵏ, ⵉⴷⵊ ⵉⵙⵙⵖⵓⵢⵢⵓ, ⵉⴷⵊ ⵢⴰⵟ ⵉⵜⵜⵛⵢⵢⴰⵔ  -ⴰⵇⵣⵉⵏ / ⴰⵢⴷⵉ / ⴰⵎⵃⵔⴰⵙ",أربعة يركضون وواحد يصرخ والآخر يلوح!– الكلب.,"rb3a ttazzln, idj issghuyyu, idj yaṭ ittshyyar  -aqzin / aydi / amḥras","ربعا تتاززلن, يدج يسسغوييو, يدج ياط يتتشييار  -اقزين / ايدي / امحراس","""Four are running, one is shouting, and another is waving! – The dog."""
"ⵙⵉⴼⴼ ⵙⵉⴼⴼ ⵍⵄⴱⵕⵓⵇ, ⴷⵡⵡⵕ ⴷⵡⵡⵕ ⵚⵚⵏⴷⵓⵇ  -ⴱⵓⵙⵉⵢⵢⴰⵕ / ⵜⴰⵍⵍⵓⵏⵜ",غربل غربل الرجل القوي، ودوّر دوّر الصندوق!– الغربال.,"siff siff l3bṛuq, dwwṛ dwwṛ ṣṣnduq  -busiyyaṛ / tallunt","سيفف سيفف لعبروق, دوور دوور صصندوق  -بوسيييار / تاللونت","""The strong man sifted and sifted, and the box spun and spun! – The sieve."""
"ⵙⵍⵍ ⴽⴱⵓⵟ, ⵉⵎⵉ ⵏⵏⵙ ⴷ ⴰⴽⵛⵛⵓⵟ  -ⵜⵢⴰⵥⵉⵟⵜ","اسمع ""كبوط"" (نقنقة) فمها من خشب!– الدجاجة.","sll kbuṭ, imi nns d akshshuṭ  -tyaẓiṭt","سلل كبوط, يمي ننس د اكششوط  -تيازّيطت","Listen to ""Kaboot"" (cluck), her beak is made of wood! – The chicken."
"ⵙⵏⴰⵜ ⵏ ⵜⴰⵡⵎⴰⵜⵉⵏ ⵎⵊⴰⵕⴰⵏⵜ, ⵉⵛⵜ ⵓⵔ ⵜⵉⵏⵏⵉⵢ ⵢⵉⵛⵜ  -ⵜⵉⵟⵟⴰⵡⵉⵏ / ⴰⵍⵍⵏ",أختان متجاورتان لا ترى إحداهما الأخرى!– العينان.,"snat n tawmatin mjaṛant, isht ur tinniy yisht  -tiṭṭawin / alln","سنات ن تاوماتين مجارانت, يشت ور تيننيي ييشت  -تيططاوين / اللن",Two neighboring sisters who cannot see each other! – The eyes.
"ⵙⵏⴰⵜ ⵏ ⵜⵃⵔⵔⵓⴷⵉⵏ, ⵉⵛⵜ ⵜⵙⵙⴰⵖ ⵜⵣⵣⵏⵓⵣ, ⵉⵛⵜ ⵓⵔ ⵜⵜ ⵢⵉⵏⵏⵉⵢ ⵃⴷ  -ⴷⴷⵓⵏⵛⵜ ⴷ ⵍⴰⵅⵔⵜ",بنتان، واحدة تشتري وتبيع والأخرى لم يرها أحد!– الدنيا والآخرة.,"snat n tḥrrudin, isht tssagh tzznuz, isht ur tt yinniy ḥd  -ddunsht d lakhrt","سنات ن تحررودين, يشت تسساغ تززنوز, يشت ور تت ييننيي حد  -ددونشت د لاخرت","Two girls: one buys and sells, and the other no one has seen! – This refers to the worldly life and the hereafter."
"ⵙⵏⴰⵜ ⵏ ⵜⵃⵟⵓⵟⵉⵏ, ⵉⵛⵜ ⴷ ⵜⴰⵥⵇⵇⴰⵍⵜ, ⵉⵛⵜ ⴷ ⵜⴰⵚⵎⵎⴰⵟⵜ  -ⵜⴼⵓⵛⵜ ⴷ ⵜⵣⵉⵔⵉ",خبزتان صغيرتان واحدة ساخنة والأخرى باردة!– الشمس والبدر.,"snat n tḥṭuṭin, isht d taẓqqalt, isht d taṣmmaṭt  -tfusht d tziri","سنات ن تحطوطين, يشت د تازّققالت, يشت د تاصمماطت  -تفوشت د تزيري","Two small loaves of bread, one warm and the other cold! – The sun and the moon."
"ⵙⵏⴰⵜ ⵏ ⵜⵇⵕⵉⵚⵉⵏ, ⵉⵛⵜ ⵓⵔ ⵜⵓⵊⵉⵔ ⵢⵉⵛⵜ  -ⴰⵊⵏⵏⴰ ⴷ ⵜⵎⵓⵔⵜ",خبزتان لا تتجاوز إحداهما الأخرى!– السماء والأرض.,"snat n tqṛiṣin, isht ur tujir yisht  -ajnna d tmurt","سنات ن تقريصين, يشت ور توجير ييشت  -اجننا د تمورت","""Two loaves of bread, neither surpassing the other! – The sky and the earth."""
"ⵙⵏⴰⵜ ⵏ ⵜⵓⴷⵔⵉⵏ, ⵉⵛⵜ ⴷ ⵜⴰⵇⵕⵕⵓⵟⵜ, ⵉⵛⵜ ⴷ ⵜⴰⵣⴳⵔⴰⵔⵜ, ⵏⵜⵛ ⵜⵜⵉⵏⵉⵖ-ⴰⵙⵏ: ⴷ ⵜⴰⵣⴳⵔⴰⵔⵜ ⴰⴳⴳ ⵉⵖⵓⴷⴰⵏ, ⵏⵉⵜⵏⵉ ⵜⵜⵉⵏⵉⵏ ⵉⵢⵉ: ⴷ ⵜⴰⵇⵕⵕⵓⵟⵜ ⴰⴳⴳ ⵉⵖⵓⴷⴰⵏ  -ⴷⴷⵓⵏⵛⵜ ⴷ ⵍⴰⵅⵔⵜ",داران، واحدة قصيرة والأخرى طويلة، أنا أقول لهم: الطويلة هي الجميلة، وهم يقولون لي: القصيرة هي الأجمل!– الدنيا والآخرة.,"snat n tudrin, isht d taqṛṛuṭt, isht d tazgrart, ntsh ttinigh-asn: d tazgrart agg ighudan, nitni ttinin iyi: d taqṛṛuṭt agg ighudan  -ddunsht d lakhrt","سنات ن تودرين, يشت د تاقرروطت, يشت د تازڭرارت, نتش تتينيغ-اسن: د تازڭرارت اڭڭ يغودان, نيتني تتينين ييي: د تاقرروطت اڭڭ يغودان  -ددونشت د لاخرت","Two homes, one short and the other long. I say to them: the long one is the beautiful one, and they say to me: the short one is the most beautiful! – This world and the Hereafter."
"ⵙⵏⴰⵜ ⵏ ⵜⵅⵓⴱⴰⵢ, ⵔⵔⵉⵏⵜ ⵉⵎⵉ ⴷⴷⵓⵏⵉⵜ ⵓⵔ ⵜⵣⵍⵍⵉⵄⵏⵜ  -ⵜⵉⵏⵣⴰⵔ",خابيتان فمهما إلى الأسفل ولا تسيلان!– المناخر.,"snat n tkhubay, rrint imi ddunit ur tzlli3nt  -tinzar","سنات ن تخوباي, ررينت يمي ددونيت ور تزلليعنت  -تينزار","""Two cavities facing downward and they do not flow! – The nostrils."""
"ⵙⵏ ⴷ ⵉⵏⵇⵇⵓⵔⴰ, ⵙⵏ ⴷ ⵉⵍⵇⵇⴰⵖⵏ  -ⴰⵛⵛⴰⵡⵏ ⴷ ⵉⵎⵊⵊⴰⵏ ⵓⴼⵓⵏⴰⵙ",اثنان صلبان واثنان رطبان!– قرنا وأذنا الثور.,"sn d inqqura, sn d ilqqaghn  -ashshawn d imjjan ufunas","سن د ينققورا, سن د يلققاغن  -اششاون د يمججان وفوناس","""Two are solid and two are soft! – The horns and ears of the bull."""
"ⵙⵏ ⵉⴱⴰⵡⵏ, ⵣⵔⵄⵏ ⵜⵎⵓⵔⵜ  -ⴰⵍⵍⵏ",فولتان زرعتا الأرض!– العينان.,"sn ibawn, zr3n tmurt  -alln","سن يباون, زرعن تمورت  -اللن","""Two beans planted the earth! – The eyes."""
"ⵙⵏ ⵊⴱⴱⴷⵏ, ⵉⴷⵊ ⵉⵜⵜⵎⵜⵜⴰ  -ⵙⵏ ⵉⵟⵓⴹⴰⵏ ⴷ ⵓⴳⵉⵕⵕⵓ",اثنان يسحبان وواحد يموت!– الأصبعين والسيجارة.,"sn jbbdn, idj ittmtta  -sn iṭuḍan d ugiṛṛu","سن جببدن, يدج يتتمتتا  -سن يطوضان د وڭيررو","""Two pull, and one dies! – The two fingers and the cigarette."""
"ⵙⵏ ⵏ ⵡⴰⵡⵎⴰⵜⵏ, ⵡⴰ ⵡⵔ ⵉⵥⵕⵉ ⵡⴰ  -ⵉⵎⵊⵊⴰⵏ",أخوان لا يعرف أحدهما الآخر!– الأذنان.,"sn n wawmatn, wa wr iẓṛi wa  -imjjan","سن ن واوماتن, وا ور يزّري وا  -يمججان","""Two brothers who do not know each other! – The ears."""
"ⵙⵙⵜⵜⵛⴰⵏ, ⵓⵔ ⵜⵜⵎⵜⵜⵛⵉⵏ  -ⵍⴼⵍⵓⵙ",يؤَكلون ولا يؤْكلون!– النقود.,"ssttshan, ur ttmttshin  -lflus","سستتشان, ور تتمتتشين  -لفلوس","""They are eaten but do not eat! – Money."""
"ⵙⵓⴼ ⵉⵏⴷⴷⵀ ⵉⵇⵛⴱⴰⵕ, ⵎⴰ ⵡⵔ ⴰⵙ ⵜⵙⵙⵉⵏⵜ ⴰⴷ ⵜ ⵛ ⵉⵏⴷⵀ  -ⴰⴱⵔⵉⴷ ⴰⵎⵇⵇⵔⴰⵏ",واد يجرف جذوع الشجر إذا لم تعرف كيفية عبوره سيجرفك!– الطريق الكبير.,"suf inddh iqshbaṛ, ma wr as tssint ad t sh indh  -abrid amqqran","سوف يندده يقشبار, ما ور اس تسسينت اد ت ش ينده  -ابريد امققران","""A valley that sweeps away tree trunks—if you don't know how to cross it, it will sweep you away! – The Great Road."""
"ⵚⵚⵉⵏⵉⵢⵢⴰ ⵏⵏⵖ ⵏ ⵏⵏⵃⴰⵙ, ⵉⵏⵏⵟ ⴰⵙ ⵓⵎⵉⵖⵥ, ⵍⴰ ⵢⴰⵣⵍⵍⵉⴼ ⵍⴰ ⵍⵙⴰⵙ  -ⵍⴱⵃⵕ",صينيتنا من النحاس تحيط بها دودة لا رأس لها ولا أساس!– البحر.,"ṣṣiniyya nngh n nnḥas, innṭ as umighẓ, la yazllif la lsas  -lbḥṛ","صصينيييا ننغ ن ننحاس, يننط اس وميغزّ, لا يازلليف لا لساس  -لبحر","""Our tray is made of copper, surrounded by a headless, baseless worm! – The sea."""
"ⵛⵏⵅⵕ, ⴼⵏⵅⵕ, ⴰⵏⵕⴰⵕ, ⵜⵉⵣⴳⵉ  -ⵉⵎⵉ ⴷ ⵢⵉⵏⵣⵔ ⴷ ⵜⵏⵟⵓⵃⵜ ⴷ ⵓⵛⴽⴽⵓⴽ","""شنخر"" و""فنخر"" وبيدر وغابة!– الفم والأنف والجبهة والشعر.","shnkhṛ, fnkhṛ, anṛaṛ, tizgi  -imi d yinzr d tnṭuḥt d ushkkuk","شنخر, فنخر, انرار, تيزڭي  -يمي د يينزر د تنطوحت د وشككوك","""Shankhar"" and ""Fankhar"" and a threshing floor and a forest! – The mouth, the nose, the forehead, and the hair."
"ⵛⵔⵣⵖ ⵉⵢⵢⵔ, ⵓⵔ ⵙⵙⵉⵏⵖ ⴰⴷ ⵉⴼⴼⵖ ⴷ ⵉⵔⴷⵏ ⵏⵖ ⴷ ⵜⵎⵥⵉⵏ  -ⴰⵃⵟⵉⵟ",حرثت الحقل ولا أدري أيخرج قمحا أم شعيرا!– الجنين.,"shrzgh iyyr, ur ssingh ad iffgh d irdn ngh d tmẓin  -aḥṭiṭ","شرزغ ييير, ور سسينغ اد يففغ د يردن نغ د تمزّين  -احطيط","""I plowed the field, but I do not know whether it will yield wheat or barley!"" – The fetus."
"ⵜⴰⴷⴷⴰⵔⵜ ⵉⵏⵓ ⴷ ⵜⴰⵣⵉⵣⴰⵡⵜ, ⵉⵃⵍⴰⵙⵏ ⵏⵏⵙ ⴷ ⵉⵣⴳⴳⵯⴰⵖⵏ, ⵓⵔ ⵜⵜ ⵉⵣⴷⴷⵖ ⵖⵉⵔ ⵉⵙⵎⵖⴰⵏ  -ⵜⴰⴷⵍⵍⴰⵃⵜ",منزلي أخضر وأغطيته حمراء لا يسكنه إلا العبيد!– البطيخ الأحمر.,"taddart inu d tazizawt, iḥlasn nns d izggⵯaghn, ur tt izddgh ghir ismghan  -tadllaḥt","تاددارت ينو د تازيزاوت, يحلاسن ننس د يزڭڭⵯاغن, ور تت يزددغ غير يسمغان  -تادللاحت",Translation Error
"ⵜⴰⴷⴷⴰⵔⵜ ⵜⴻⵜⵜⵛⵓⵕ ⵙ ⵜⵎⵖⴰⵔⵉⵏ, ⵜⵏ ⴷ ⵉⴼⴼⵖⵏ ⴽⴽⵙⵏ ⴰⵙ ⴰⵣⵍⵍⵉⴼ  -ⵍⵓⵇⵉⴷ",المنزل مليء بالعجائز من خرجت قطعوا لها الرأس!– عود الثقاب.,"taddart tettshuṛ s tmgharin, tn d iffghn kksn as azllif  -luqid","تاددارت ت°تتشور س تمغارين, تن د يففغن ككسن اس ازلليف  -لوقيد",Translation Error
"ⵜⴰⴷⵉⵙⵜ ⵏⵏⵙ ⵖⵔ ⴷⴼⴼⵔ, ⴰⵙⵔⵓⴼ ⵏⵏⵙ ⵖⵔ ⴷⴰⵜ  -ⴼⵓⴷ",بطنه وراءه وظهره أمامه!– الركبة.,"tadist nns ghr dffr, asruf nns ghr dat  -fud","تاديست ننس غر دففر, اسروف ننس غر دات  -فود","""His stomach is behind him, and his back is in front of him! – The knee."""
"ⵜⴰⴼⵓⵏⴰⵙⵜ ⵏⵏⵖ ⵓⵔ ⴷⴰⴳ-ⵙ ⴰⴽⵙⵓⵎ ⵡⴰⵍⴰ ⵢⴰⵛⴼⴼⴰⵢ, ⵜⵙⵙⵎⵓⵏⵙⵓ ⵢⴰⵏⵖ ⵜⵙⵙⵎⵓⵏⵙⵓ ⵢⵉⵙⵎⵖⴰⵏ ⴷ ⵡⴰⴷⵊⴰⵔⵏ  -ⵜⴰⵙⵉⵔⵜ",بقرتنا لا لحم فيها ولا حليب، عشّتنا وعشّت العبيد والجيران!– المطحنة / الرحى.,"tafunast nngh ur dag-s aksum wala yashffay, tssmunsu yangh tssmunsu yismghan d wadjarn  -tasirt","تافوناست ننغ ور داڭ-س اكسوم والا ياشففاي, تسسمونسو يانغ تسسمونسو ييسمغان د وادجارن  -تاسيرت","""Our cow has neither meat nor milk, yet it sustains us, the servants, and the neighbors!"" – *The Mill / The Grindstone.*"
"ⵜⴰⵍⵖⵎⵜ ⵉⵏⵓ ⵜⵊⵏⴰ, ⵉⵔⵉ ⵏⵏⵙ ⵉⵡⵡⵟ ⴰⵊⵏⵏⴰ  -ⵛⵛⵉⵎⵉⵍⵉ",ناقتي نائمة وعنقها وصل السماء!– المدخنة.,"talghmt inu tjna, iri nns iwwṭ ajnna  -shshimili","تالغمت ينو تجنا, يري ننس يووط اجننا  -ششيميلي","My she-camel is sleeping, and her neck has reached the sky! – The chimney."
ⵜⴰⵏⴷⵓⵜ ⵏⵏⵟⵏ ⴰⵙ ⵉⵣⴳⴳⵯⴰⵔⵏ  -ⵢⵓⵔ ⴷ ⵢⵉⵜⵔⴰⵏ,سلة مسطحة محاطة بالتين!– القمر والنجوم.,tandut nnṭn as izggⵯarn  -yur d yitran,تاندوت ننطن اس يزڭڭⵯارن  -يور د ييتران,A flat basket surrounded by figs! – The moon and the stars.
"ⵜⴰⵙⵉⵔⵜ ⵜⵙⵙⵜⴼⵜⵓⴼ, ⴰⴼⵓⵏⴰⵙ ⵉⵙⵙⵎⵓⵀⵔⵓⵜ, ⵉⵙⵎⵖ ⵉⵜⵜⵙⵓⵃⵔⵓⵜ  -ⵜⴰⴷⵉⵙⵜ ⴷ ⵢⵉⵎⵉ ⴷ ⵓⵟⴰⵕ",المطحنة تبحث والثور يخور والعبد يلهث!– البطن والفم والرجل.,"tasirt tsstftuf, afunas issmuhrut, ismgh ittsuḥrut  -tadist d yimi d uṭaṛ","تاسيرت تسستفتوف, افوناس يسسموهروت, يسمغ يتتسوحروت  -تاديست د ييمي د وطار","""The mill grinds, the ox bellows, and the servant pants! – The belly, the mouth, and the leg."""
"ⵜⴰⵛⵕⵓⵥⵉ ⵙⵡⴰⴷⴷⴰ, ⵙⵏⵏⵊ ⴷ ⵉⴱⵍⴰⵟⵏ  -ⵜⴰⵎⵟⵍⵜ",ضيق في الأسفل وحجارة مسطحة في الأعلى!– القبر.,"tashṛuẓi swadda, snnj d iblaṭn  -tamṭlt","تاشروزّي سواددا, سننج د يبلاطن  -تامطلت","""Narrow at the bottom and flat stones on top! – The grave."""
ⵜⴰⵡⵙⵙⴰⵔⵜ ⵜⵜⴳⴷⴷⴰⴷ ⵜⴰⵡⵙⵙⴰⵔⵜ  -ⵉⵇⵕⴹⴰⵛⵏ,عجوز تلتهم عجوز!– مشطا الصوف.,tawssart ttgddad tawssart  -iqṛḍashn,تاوسسارت تتڭدداد تاوسسارت  -يقرضاشن,"""An old woman devours an old woman! – The wool comb."""
"ⵜⴰⵢⴷⴷⵉⴷⵜ ⵜⴰⴱⵏⵢⴷⴷⵉⴷⵜ, ⵉⵎⵉ ⵏⵏⵙ ⴷ ⴰⴽⵛⵛⵓⵟ  -ⵜⵢⴰⵥⵉⵟⵜ",ركوة (قربة صغيرة من جلد الماعز) منتفخة فمها من خشب!– الدجاجة.,"tayddidt tabnyddidt, imi nns d akshshuṭ  -tyaẓiṭt","تايدديدت تابنيدديدت, يمي ننس د اكششوط  -تيازّيطت","A swollen ""rakwa"" (a small goatskin pouch) with a wooden mouthpiece! – The hen."
ⵜⴱⴷⴷ ⵜⵜⴻⵜⵜ ⴰⴷⴰⵏ ⵏⵏⵙ ⵛⵡⴰⵢ ⵙ ⵛⵡⴰⵢ  -ⵜⴰⵛⵎⵄⵉⵛⵜ,وقفت تأكل أمعاءها شيئا فشيئا!– الشمعة.,tbdd ttett adan nns shway s shway  -tashm3isht,تبدد تت°تت ادان ننس شواي س شواي  -تاشمعيشت,"""The candle stood eating its own insides little by little!"""
ⵜⴻⵜⵜⵛⴰ ⵢⴰⴷⴰⵏ ⵏ ⵢⵍⵍⵉⵙ ⵜⵖⵉⵍ ⵏ ⵇⵕⵎⵓⵙ  -ⵜⵔⴳⵓ,"أكلت أمعاء ابنتها وظنت أنها لـ ""قرموش"" (اسم علم مذكور في الحكايات الأمازيغية القديمة)!– أنثى الغول.",tettsha yadan n yllis tghil n qṛmus  -trgu,ت°تتشا يادان ن يلليس تغيل ن قرموس  -ترڭو,Translation Error
ⵜⴻⵜⵜⵡⴰⵕⵡ ⵓⵔ ⵜⵜⵉⵕⵡ  -ⵜⴰⵙⵔⴷⵓⵏⵜ,أُنجبت ولا تُنجب!– البغلة.,tettwaṛw ur ttiṛw  -tasrdunt,ت°تتوارو ور تتيرو  -تاسردونت,"""She was born but does not give birth! – The mule."""
"ⵜⴼⵍⴰ ⵅ ⵓⵎⵍⵍⴰⵍ, ⵜⵏⴰⵚⴼ ⵅ ⵓⵣⴳⴳⵯⴰⵖ, ⵜⵇⵟⵡ ⵅ ⵓⴱⵔⵛⴰⵏ  -ⵜⴰⴱⵖⴰ",نسجت على الأبيض وتناصفت على الأحمر وقطعت على الأسود!– توت العليق.,"tfla kh umllal, tnaṣf kh uzggⵯagh, tqṭw kh ubrshan  -tabgha","تفلا خ ومللال, تناصف خ وزڭڭⵯاغ, تقطو خ وبرشان  -تابغا","""I wove on white, shared on red, and was cut on black! – Raspberry."""
ⵜⴼⵍⴰ ⵢⴰⵥⵟⵟⴰ ⴱⵍⴰ ⵢⴼⴷⵊⴰⵊⵏ  -ⵜⵣⵉⵣⵡⵉ,أعدت المنسج بدون جذوع (أدوات خشبية تستعمل في الحياكة التقليدية)! – النحلة.,tfla yaẓṭṭa bla yfdjajn  -tzizwi,تفلا يازّططا بلا يفدجاجن  -تزيزوي,"""I prepared the loom without the wooden rods (tools used in traditional weaving)! – The bee."""
ⵜⴼⵓⵕⵏⵜ ⵉⵏⵓ ⴷⵉ ⵜⵊⴷⵉⵔⵜ  -ⵜⵉⵎⵊⵊⵜ,فرني الصغير في جرف صغير!– الأذن.,tfuṛnt inu di tjdirt  -timjjt,تفورنت ينو دي تجديرت  -تيمججت,"""My small oven in a small cave! – The ear."""
"ⵜⴳⴳⵓⵔ ⴷⵉ ⵜⴱⵃⵉⵔⵉⵏ, ⵜⵙⵙⵟⵎⴰⵄ ⵍⵡⴰⵛⵓⵏ  -ⵜⵎⴰⵍⵍⴰ",تتمشى في بساتين الخضر وتغري الأولاد!– اليمامة.,"tggur di tbḥirin, tssṭma3 lwashun  -tmalla","تڭڭور دي تبحيرين, تسسطماع لواشون  -تماللا","""She strolls through the green orchards and captivates the children! – The dove."""
ⵜⴳⴳⵓⵔ ⵅ ⵢⵉⵎⵉ ⵏ ⵓⵊⴷⵉⵔ ⵓⵔ ⵜⵜⵓⵟⵉ  -ⵜⴰⵥⵟⵛⴰ,تمشي على حافة الجرف ولا تسقط!– مشط النسيج.,tggur kh yimi n ujdir ur ttuṭi  -taẓṭsha,تڭڭور خ ييمي ن وجدير ور تتوطي  -تازّطشا,"""Walking on the edge of the cliff and not falling! – The comb of the fabric."""
"ⵜⴳⵄⵄⴷ ⴰⴽⴷ ⵓⵙⵓⴼ ⵜⴻⵜⵜⵔⵓ, ⵜⵇⵇⴰⵕ ⴰ ⴼⴰⴷ ⵏ ⵜⴰⵕⵡⴰ  -ⵜⴰⵙⵔⴷⵓⵏⵜ",صعدت مع النهر تبكي وتصرخ يا عطش الإنجاب (بحثا عن الذرية)!– البغلة.,"tg33d akd usuf tettru, tqqaṛ a fad n taṛwa  -tasrdunt","تڭععد اكد وسوف ت°تترو, تققار ا فاد ن تاروا  -تاسردونت","""She ascended along the river, crying and screaming, 'Oh, the thirst for procreation (in search of offspring)!' – The Mule."""
ⵜⵖⵉⵔⴷⵎⵜ ⵜⵄⵍⵍⵇ ⴷⴳ ⵓⵚⵟⵟⴰ  -ⵜⴰⵃⵕⵓⵕⵜ,عقرب معلق بالغصن!– الفلفلة.,tghirdmt t3llq dg uṣṭṭa  -taḥṛuṛt,تغيردمت تعللق دڭ وصططا  -تاحرورت,A scorpion hanging from the branch! – The chili pepper.
"ⵜⵖⵔⵔⵙⵜ ⴰⵙ ⵜⵙⵙⵖⵓⵢⵢⵓ, ⵎⴰⵛⴰ ⵡⵔ ⴷ ⵜⴼⴼⵖⵏ ⵉⴷⴰⵎⵎⵏ ⵏⵏⵙ  -ⵍⴽⴰⵎⴰⵏⵊⴰ",تذبحها وتصرخ لكن لا تخرج دماءها!– الكمان.,"tghrrst as tssghuyyu, masha wr d tffghn idammn nns  -lkamanja","تغررست اس تسسغوييو, ماشا ور د تففغن يداممن ننس  -لكامانجا",Translation Error
"ⵜⵃⵏⵓⵏⵏⵟ  ⵜⴱⵏⵓⵏⵏⵟ, ⵜⵡⵛⴰ  ⵢⵉⵅⴼ  ⵏⵏⵙ ⵉ ⵡⴰⵏⵓ  -ⵜⴰⵍⵇⵇⵉⵎⵜ",مكورة ومدورة وأعطت نفسها للبئر!– اللقمة.,"tḥnunnṭ  tbnunnṭ, twsha  yikhf  nns i wanu  -talqqimt","تحنوننط  تبنوننط, توشا  ييخف  ننس ي وانو  -تالققيمت","""Round and spherical, and it gave itself to the well! – The morsel."""
