"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"I love you too.","Ula d nkk xsɣ-ckk.","Tarifit","Uⵍⴰ ⴷ ⵏⴿⴿ xⵙⵖ-cⴿⴿ.","Ula d nkk xsɣ-ckk.","Ula d nkk xsغ-ckk."
"The dog scared the children.","Aqzin ila issiggʷd iḥnjirn.","Tarifit","Aⵇⵣⵉⵏ ⵉⵍⴰ ⵉⵙⵙⵉⴴⴴʷⴷ ⵉⵃⵏⵊⵉⵔⵏ.","Aqzin ila issiggʷd iḥnjirn.","Aqzin ila issiggʷd iḥnjirn."
"My mother gets up early every morning.","Imma ttkkr zik kul ṣṣbḥ.","Tarifit","Iⵎⵎⴰ ⵝⵝⴿⴿⵔ ⵣⵉⴿ ⴿⵓⵍ ⵚⵚⴲⵃ.","Imma ttkkr zik kul ṣṣbḥ.","Imma ttkkr zik kul ṣṣbḥ."
"My father is a teacher.","Baba d amslmad.","Tarifit","Bⴰⴲⴰ ⴷ ⴰⵎⵙⵍⵎⴰⴷ.","Baba d amslmad.","Baba d amslmad."
"Get up!","Kkr!","Tarifit","Kⴿⵔ!","Kkr!","Kkr!"
"Even though I'm tired, I've done what I could.","Waxa uḥlɣ, ggiɣ tizmmr-inu.","Tarifit","Wⴰxⴰ ⵓⵃⵍⵖ, ⴴⴴⵉⵖ ⵝⵉⵣⵎⵎⵔ-ⵉⵏⵓ.","Waxa uḥlɣ, ggiɣ tizmmr-inu.","Waxa uḥlغ, ggiغ tizmmr-inu."
"They weigh sixty kilograms.","Nitni uzznen sttin kilu.","Tarifit","Nⵉⵝⵏⵉ ⵓⵣⵣⵏⴻⵏ ⵙⵝⵝⵉⵏ ⴿⵉⵍⵓ.","Nitni uzznen sttin kilu.","Nitni uzznen sttin kilu."
"I saw him tear up the letter.","Ila ẓṛiɣ-t iɣrs tabrat.","Tarifit","Iⵍⴰ ⵥⵕⵉⵖ-ⵝ ⵉⵖⵔⵙ ⵝⴰⴲⵔⴰⵝ.","Ila ẓṛiɣ-t iɣrs tabrat.","Ila ẓṛiغ-t iغrs tabrat."
"The heavy rain prevented us from going out.","Anẓar ijhdn ila ur nɣ-ijji ad nffɣ.","Tarifit","Aⵏⵥⴰⵔ ⵉⵊⵁⴷⵏ ⵉⵍⴰ ⵓⵔ ⵏⵖ-ⵉⵊⵊⵉ ⴰⴷ ⵏⴼⴼⵖ.","Anẓar ijhdn ila ur nɣ-ijji ad nffɣ.","Anẓar ijhdn ila ur nغ-ijji ad nffغ."
"Where are you from?","Manis d-ttggurd?","Tarifit","Mⴰⵏⵉⵙ ⴷ-ⵝⵝⴴⴴⵓⵔⴷ?","Manis d-ttggurd?","Manis d-ttggurd?"
"He is afraid of the dark.","Ittggʷd tallst.","Tarifit","Iⵝⵝⴴⴴʷⴷ ⵝⴰⵍⵍⵙⵝ.","Ittggʷd tallst.","Ittggʷd tallst."
"What did you do?","Min ila tggid?","Tarifit","Mⵉⵏ ⵉⵍⴰ ⵝⴴⴴⵉⴷ?","Min ila tggid?","Min ila tggid?"
"You are my sunshine.","Kmm d tafukt-inu.","Tarifit","Kⵎⵎ ⴷ ⵝⴰⴼⵓⴿⵝ-ⵉⵏⵓ.","Kmm d tafukt-inu.","Kmm d tafukt-inu."
"I have 3 sisters. One is a nurse and the other 2 are students.","Ɣri 3 n istma. Yat d firmila, 2 nnḍni d tinlmadin.","Tarifit","Ɣⵔⵉ ⵄ ⵏ ⵉⵙⵝⵎⴰ. Yⴰⵝ ⴷ ⴼⵉⵔⵎⵉⵍⴰ, 2 ⵏⵏⴺⵏⵉ ⴷ ⵝⵉⵏⵍⵎⴰⴷⵉⵏ.","Ɣri 3 n istma. Yat d firmila, 2 nnḍni d tinlmadin.","Ɣri 3 n istma. Yat d firmila, 2 nnḍni d tinlmadin."
"Who are these people?","Min ɛnan iwdan-a?","Tarifit","Mⵉⵏ ɛⵏⴰⵏ ⵉⵡⴷⴰⵏ-ⴰ?","Min ɛnan iwdan-a?","Min ɛnan iwdan-a?"
"What does ""Tatoeba"" mean?","Min ixs ad ini ""Tatoeba""?","Tarifit","Mⵉⵏ ⵉxⵙ ⴰⴷ ⵉⵏⵉ ""Tⴰⵝoⴻⴲⴰ""?","Min ixs ad ini ""Tatoeba""?","Min ixs ad ini ""Tatoeba""?"
"Have you ever done it?","Tggid-t kra n umur?","Tarifit","Tⴴⴴⵉⴷ-ⵝ ⴿⵔⴰ ⵏ ⵓⵎⵓⵔ?","Tggid-t kra n umur?","Tggid-t kra n umur?"
"I am Finnish but I also speak Swedish.","Nkk d afinlandi maca ttssawalɣ ulad taswidit.","Tarifit","Nⴿⴿ ⴷ ⴰⴼⵉⵏⵍⴰⵏⴷⵉ ⵎⴰcⴰ ⵝⵝⵙⵙⴰⵡⴰⵍⵖ ⵓⵍⴰⴷ ⵝⴰⵙⵡⵉⴷⵉⵝ.","Nkk d afinlandi maca ttssawalɣ ulad taswidit.","Nkk d afinlandi maca ttssawalغ ulad taswidit."
"Looking for a job.","Rzu xf tkrza.","Tarifit","Rⵣⵓ xⴼ ⵝⴿⵔⵣⴰ.","Rzu xf tkrza.","Rzu xf tkrza."
"The barley harvest is ahead of the wheat harvest.","Tamgra n imndi tizzr i tnni n yirdn.","Tarifit","Tⴰⵎⴴⵔⴰ ⵏ ⵉⵎⵏⴷⵉ ⵝⵉⵣⵣⵔ ⵉ ⵝⵏⵏⵉ ⵏ ⵢⵉⵔⴷⵏ.","Tamgra n imndi tizzr i tnni n yirdn.","Tamgra n imndi tizzr i tnni n yirdn."
"She has got a boyfriend.","Tgga nubyu.","Tarifit","Tⴴⴴⴰ ⵏⵓⴲⵢⵓ.","Tgga nubyu.","Tgga nubyu."
"Take my place! What would you have done?","Gg ixf-nnk dg umkan-inu! Min ili tggid?","Tarifit","Gⴴ ⵉxⴼ-ⵏⵏⴿ ⴷⴴ ⵓⵎⴿⴰⵏ-ⵉⵏⵓ! Mⵉⵏ ⵉⵍⵉ ⵝⴴⴴⵉⴷ?","Gg ixf-nnk dg umkan-inu! Min ili tggid?","Gg ixf-nnk dg umkan-inu! Min ili tggid?"
"I'm just kidding.","Ttqṣṣrɣ waha.","Tarifit","Tⵝⵇⵚⵚⵔⵖ ⵡⴰⵁⴰ.","Ttqṣṣrɣ waha.","Ttqṣṣrغ waha."
"The population of Osaka is greater than that of Kyoto.","Imzdaɣ n Usaka ktr zg inni n Kyutu.","Tarifit","Iⵎⵣⴷⴰⵖ ⵏ Uⵙⴰⴿⴰ ⴿⵝⵔ ⵣⴴ ⵉⵏⵏⵉ ⵏ Kⵢⵓⵝⵓ.","Imzdaɣ n Usaka ktr zg inni n Kyutu.","Imzdaغ n Usaka ktr zg inni n Kyutu."
"They were left with their mouths open.","Qqimn rɛbn.","Tarifit","Qⵇⵉⵎⵏ ⵔɛⴲⵏ.","Qqimn rɛbn.","Qqimn rɛbn."
"It looks good on you.","Yusd xafk.","Tarifit","Yⵓⵙⴷ xⴰⴼⴿ.","Yusd xafk.","Yusd xafk."
"How do you spell pretty""?""","Mamk ittari ""pretty""?","Tarifit","Mⴰⵎⴿ ⵉⵝⵝⴰⵔⵉ ""ⵒⵔⴻⵝⵝⵢ""?","Mamk ittari ""pretty""?","Mamk ittari ""pretty""?"
"Tom showed Mary the book he had written.","Tom iskn-as i Mary adlis-nni ttuɣa yura.","Tarifit","Toⵎ ⵉⵙⴿⵏ-ⴰⵙ ⵉ Mⴰⵔⵢ ⴰⴷⵍⵉⵙ-ⵏⵏⵉ ⵝⵝⵓⵖⴰ ⵢⵓⵔⴰ.","Tom iskn-as i Mary adlis-nni ttuɣa yura.","Tom iskn-as i Mary adlis-nni ttuغa yura."
"Here you go.","Aqq-ak.","Tarifit","Aⵇⵇ-ⴰⴿ.","Aqq-ak.","Aqq-ak."
"He finally arrived.","Ntta yiwḍ ɣr umggar.","Tarifit","Nⵝⵝⴰ ⵢⵉⵡⴺ ⵖⵔ ⵓⵎⴴⴴⴰⵔ.","Ntta yiwḍ ɣr umggar.","Ntta yiwḍ غr umggar."
"Hurry up or you'll be late.","Fses niɣ ad tawḍeḍ tɛṭṭrḍ.","Tarifit","Fⵙⴻⵙ ⵏⵉⵖ ⴰⴷ ⵝⴰⵡⴺⴻⴺ ⵝɛⵟⵟⵔⴺ.","Fses niɣ ad tawḍeḍ tɛṭṭrḍ.","Fses niغ ad tawḍeḍ tɛṭṭrḍ."
"The door was closed from the outside.","Tawwurt ttuɣa tqqn zg bṛṛa.","Tarifit","Tⴰⵡⵡⵓⵔⵝ ⵝⵝⵓⵖⴰ ⵝⵇⵇⵏ ⵣⴴ ⴲⵕⵕⴰ.","Tawwurt ttuɣa tqqn zg bṛṛa.","Tawwurt ttuغa tqqn zg bṛṛa."
"Speak slowly.","Ssiwel s leɛqel.","Tarifit","Sⵙⵉⵡⴻⵍ ⵙ ⵍⴻɛⵇⴻⵍ.","Ssiwel s leɛqel.","Ssiwel s leɛqel."
"Is this your family?","Ta d tawacult-nnek?","Tarifit","Tⴰ ⴷ ⵝⴰⵡⴰcⵓⵍⵝ-ⵏⵏⴻⴿ?","Ta d tawacult-nnek?","Ta d tawacult-nnek?"
"It has been raining all day without stopping.","Iwet wenẓar ass lekmal-nnes war aḥbas.","Tarifit","Iⵡⴻⵝ ⵡⴻⵏⵥⴰⵔ ⴰⵙⵙ ⵍⴻⴿⵎⴰⵍ-ⵏⵏⴻⵙ ⵡⴰⵔ ⴰⵃⴲⴰⵙ.","Iwet wenẓar ass lekmal-nnes war aḥbas.","Iwet wenẓar ass lekmal-nnes war aḥbas."
"The city of Agadir is located in the region of Souss-Massa (Province of Agadir-Idawtanan) in the south of Morocco.","Iɣrem n Agadir illa g tmazirt n Suss-Masst (tannaḍt Agadir-Idawtanan) g iffus n Tmurt n Maṛṛuk.","Tachelhit","Iⵖⵔⴻⵎ ⵏ Aⴴⴰⴷⵉⵔ ⵉⵍⵍⴰ ⴴ ⵝⵎⴰⵣⵉⵔⵝ ⵏ Sⵓⵙⵙ-Mⴰⵙⵙⵝ (ⵝⴰⵏⵏⴰⴺⵝ Aⴴⴰⴷⵉⵔ-Iⴷⴰⵡⵝⴰⵏⴰⵏ) ⴴ ⵉⴼⴼⵓⵙ ⵏ Tⵎⵓⵔⵝ ⵏ Mⴰⵕⵕⵓⴿ.","Iɣrem n Agadir illa g tmazirt n Suss-Masst (tannaḍt Agadir-Idawtanan) g iffus n Tmurt n Maṛṛuk.","Iغrem n Agadir illa g tmazirt n Suss-Masst (tannaḍt Agadir-Idawtanan) g iffus n Tmurt n Maṛṛuk."
"City of Agadir.","Iɣrem n Agadir.","Tarifit","Iⵖⵔⴻⵎ ⵏ Aⴴⴰⴷⵉⵔ.","Iɣrem n Agadir.","Iغrem n Agadir."
"Hindi Zahra is a Franco-Moroccan artist.","Tga Hindi Zahra yat tnaẓuṛt tafransist-tamarrukit.","Tachelhit","Tⴴⴰ Hⵉⵏⴷⵉ Zⴰⵁⵔⴰ ⵢⴰⵝ ⵝⵏⴰⵥⵓⵕⵝ ⵝⴰⴼⵔⴰⵏⵙⵉⵙⵝ-ⵝⴰⵎⴰⵔⵔⵓⴿⵉⵝ.","Tga Hindi Zahra yat tnaẓuṛt tafransist-tamarrukit.","Tga Hindi Zahra yat tnaẓuṛt tafransist-tamarrukit."
"Born in Khuribga (Morocco) in 1979.","Tlul g Xuribga (Marruk) g usggas 1979.","Tachelhit","Tⵍⵓⵍ ⴴ Xⵓⵔⵉⴲⴴⴰ (Mⴰⵔⵔⵓⴿ) ⴴ ⵓⵙⴴⴴⴰⵙ 1979.","Tlul g Xuribga (Marruk) g usggas 1979.","Tlul g Xuribga (Marruk) g usggas 1979."
"She is a singer, musician and painter.","Nttat tga tamarirt, tamẓawant d tjyyart.","Tachelhit","Nⵝⵝⴰⵝ ⵝⴴⴰ ⵝⴰⵎⴰⵔⵉⵔⵝ, ⵝⴰⵎⵥⴰⵡⴰⵏⵝ ⴷ ⵝⵊⵢⵢⴰⵔⵝ.","Nttat tga tamarirt, tamẓawant d tjyyart.","Nttat tga tamarirt, tamẓawant d tjyyart."
"Hindi Zahra sings in English, Amazigh and French.","Hindi Zahra ar tettirir s tnglizt, tamaziɣt d tfransist.","Tachelhit","Hⵉⵏⴷⵉ Zⴰⵁⵔⴰ ⴰⵔ ⵝⴻⵝⵝⵉⵔⵉⵔ ⵙ ⵝⵏⴴⵍⵉⵣⵝ, ⵝⴰⵎⴰⵣⵉⵖⵝ ⴷ ⵝⴼⵔⴰⵏⵙⵉⵙⵝ.","Hindi Zahra ar tettirir s tnglizt, tamaziɣt d tfransist.","Hindi Zahra ar tettirir s tnglizt, tamaziغt d tfransist."
"Zahra comes from a family of Amazigh artists (Oudaden group).","Zahra tucka d seg yat twja n inaẓuṛn imaziɣn (tarabbut Oudaden).","Tachelhit","Zⴰⵁⵔⴰ ⵝⵓcⴿⴰ ⴷ ⵙⴻⴴ ⵢⴰⵝ ⵝⵡⵊⴰ ⵏ ⵉⵏⴰⵥⵓⵕⵏ ⵉⵎⴰⵣⵉⵖⵏ (ⵝⴰⵔⴰⴲⴲⵓⵝ Oⵓⴷⴰⴷⴻⵏ).","Zahra tucka d seg yat twja n inaẓuṛn imaziɣn (tarabbut Oudaden).","Zahra tucka d seg yat twja n inaẓuṛn imaziغn (tarabbut Oudaden)."
"I started with traditional gnawa, reggae and folk music by Bob Dylan.","Tssnti s uẓawan aqbur n gnawi, reggae d folk n Bob Dylan.","Tachelhit","Tⵙⵙⵏⵝⵉ ⵙ ⵓⵥⴰⵡⴰⵏ ⴰⵇⴲⵓⵔ ⵏ ⴴⵏⴰⵡⵉ, ⵔⴻⴴⴴⴰⴻ ⴷ ⴼoⵍⴿ ⵏ Boⴲ Dⵢⵍⴰⵏ.","Tssnti s uẓawan aqbur n gnawi, reggae d folk n Bob Dylan.","Tssnti s uẓawan aqbur n gnawi, reggae d folk n Bob Dylan."
"I accompanied you to the river.","Munɣ dik s wasif.","Tachelhit","Mⵓⵏⵖ ⴷⵉⴿ ⵙ ⵡⴰⵙⵉⴼ.","Munɣ dik s wasif.","Munغ dik s wasif."
"When will you return? when?","Managu, rad i twurrit? Managu?","Tachelhit","Mⴰⵏⴰⴴⵓ, ⵔⴰⴷ ⵉ ⵝⵡⵓⵔⵔⵉⵝ? Mⴰⵏⴰⴴⵓ?","Managu, rad i twurrit? Managu?","Managu, rad i twurrit? Managu?"
"Just come, honey.","Ɣar acki d a tasa inu.","Tachelhit","Ɣⴰⵔ ⴰcⴿⵉ ⴷ ⴰ ⵝⴰⵙⴰ ⵉⵏⵓ.","Ɣar acki d a tasa inu.","Ɣar acki d a tasa inu."
"He knows that I am the honey and the storm.","Issn iyi giɣ tamment d ijawan.","Tachelhit","Iⵙⵙⵏ ⵉⵢⵉ ⴴⵉⵖ ⵝⴰⵎⵎⴻⵏⵝ ⴷ ⵉⵊⴰⵡⴰⵏ.","Issn iyi giɣ tamment d ijawan.","Issn iyi giغ tamment d ijawan."
"I saw myself in the hand of serenity.","Iẓṛa iyi g ufus n laman.","Tachelhit","Iⵥⵕⴰ ⵉⵢⵉ ⴴ ⵓⴼⵓⵙ ⵏ ⵍⴰⵎⴰⵏ.","Iẓṛa iyi g ufus n laman.","Iẓṛa iyi g ufus n laman."
"What do you want?","Ma trit?","Tachelhit","Mⴰ ⵝⵔⵉⵝ?","Ma trit?","Ma trit?"
"Hello,What do you want?","Azul, ma trit?","Tachelhit","Aⵣⵓⵍ, ⵎⴰ ⵝⵔⵉⵝ?","Azul, ma trit?","Azul, ma trit?"
"Hello, I want bread.","Azul, riɣ aɣrum.","Tachelhit","Aⵣⵓⵍ, ⵔⵉⵖ ⴰⵖⵔⵓⵎ.","Azul, riɣ aɣrum.","Azul, riغ aغrum."
"Do you want water?","Is trit aman?","Tachelhit","Iⵙ ⵝⵔⵉⵝ ⴰⵎⴰⵏ?","Is trit aman?","Is trit aman?"
"Yes, I want water.","Yah, riɣ aman.","Tachelhit","Yⴰⵁ, ⵔⵉⵖ ⴰⵎⴰⵏ.","Yah, riɣ aman.","Yah, riغ aman."
"Hola, ¿quieres comer algo?","Ahul, is trit ad tccet kra?","Tarifit","Aⵁⵓⵍ, ⵉⵙ ⵝⵔⵉⵝ ⴰⴷ ⵝccⴻⵝ ⴿⵔⴰ?","Ahul, is trit ad tccet kra?","Ahul, is trit ad tccet kra?"
"Yes, I want to eat, I'm hungry.","Yah, riɣ ad cceɣ, yaɣ iyi laẓ.","Tachelhit","Yⴰⵁ, ⵔⵉⵖ ⴰⴷ ccⴻⵖ, ⵢⴰⵖ ⵉⵢⵉ ⵍⴰⵥ.","Yah, riɣ ad cceɣ, yaɣ iyi laẓ.","Yah, riغ ad cceغ, yaغ iyi laẓ."
"Do you want something to drink?","Is trit ad tsut kra?","Tachelhit","Iⵙ ⵝⵔⵉⵝ ⴰⴷ ⵝⵙⵓⵝ ⴿⵔⴰ?","Is trit ad tsut kra?","Is trit ad tsut kra?"
"Yes, I want water, I'm dying of thirst.","Yah, riɣ aman, inɣa iyi irifi.","Tachelhit","Yⴰⵁ, ⵔⵉⵖ ⴰⵎⴰⵏ, ⵉⵏⵖⴰ ⵉⵢⵉ ⵉⵔⵉⴼⵉ.","Yah, riɣ aman, inɣa iyi irifi.","Yah, riغ aman, inغa iyi irifi."
"How much do you want?","Menckk ad trit?","Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵝⵔⵉⵝ?","Menckk ad trit?","Menckk ad trit?"
"I want a glass, muchas gracias.","Riɣ yan lkas, tanemmirt bahra.","Tachelhit","Rⵉⵖ ⵢⴰⵏ ⵍⴿⴰⵙ, ⵝⴰⵏⴻⵎⵎⵉⵔⵝ ⴲⴰⵁⵔⴰ.","Riɣ yan lkas, tanemmirt bahra.","Riغ yan lkas, tanemmirt bahra."
"Do you love me?","Is iyi trit?","Tachelhit","Iⵙ ⵉⵢⵉ ⵝⵔⵉⵝ?","Is iyi trit?","Is iyi trit?"
"Yes! I love you so much, my love.","Yah! Riɣ km bahra a tayri inu.","Tachelhit","Yⴰⵁ! Rⵉⵖ ⴿⵎ ⴲⴰⵁⵔⴰ ⴰ ⵝⴰⵢⵔⵉ ⵉⵏⵓ.","Yah! Riɣ km bahra a tayri inu.","Yah! Riغ km bahra a tayri inu."
"So tell me, where are you going?","Awa, ini iyi, mani trit?","Tachelhit","Aⵡⴰ, ⵉⵏⵉ ⵉⵢⵉ, ⵎⴰⵏⵉ ⵝⵔⵉⵝ?","Awa, ini iyi, mani trit?","Awa, ini iyi, mani trit?"
"I'm going to the beach because I like the sea a lot.","Riɣ taɣart acku ar bahra ttiriɣ ill.","Tachelhit","Rⵉⵖ ⵝⴰⵖⴰⵔⵝ ⴰcⴿⵓ ⴰⵔ ⴲⴰⵁⵔⴰ ⵝⵝⵉⵔⵉⵖ ⵉⵍⵍ.","Riɣ taɣart acku ar bahra ttiriɣ ill.","Riغ taغart acku ar bahra ttiriغ ill."
"What are you doing?","Mad tskart?","Tachelhit","Mⴰⴷ ⵝⵙⴿⴰⵔⵝ?","Mad tskart?","Mad tskart?"
"What? Forgive me, I didn't understand.","Mit? Ssurf iyi, ur rmisɣ.","Tachelhit","Mⵉⵝ? Sⵙⵓⵔⴼ ⵉⵢⵉ, ⵓⵔ ⵔⵎⵉⵙⵖ.","Mit? Ssurf iyi, ur rmisɣ.","Mit? Ssurf iyi, ur rmisغ."
"What's up?","Mad illan?","Tachelhit","Mⴰⴷ ⵉⵍⵍⴰⵏ?","Mad illan?","Mad illan?"
"What is your name?","Mad igan ism nnk?","Tachelhit","Mⴰⴷ ⵉⴴⴰⵏ ⵉⵙⵎ ⵏⵏⴿ?","Mad igan ism nnk?","Mad igan ism nnk?"
"What happened?","Mad ijjran?","Tachelhit","Mⴰⴷ ⵉⵊⵊⵔⴰⵏ?","Mad ijjran?","Mad ijjran?"
"What kind of man is he?","Man argaz ad iga?","Tachelhit","Mⴰⵏ ⴰⵔⴴⴰⵣ ⴰⴷ ⵉⴴⴰ?","Man argaz ad iga?","Man argaz ad iga?"
"What girl do you like?","Man tafruxt ad ak issusm?","Tachelhit","Mⴰⵏ ⵝⴰⴼⵔⵓxⵝ ⴰⴷ ⴰⴿ ⵉⵙⵙⵓⵙⵎ?","Man tafruxt ad ak issusm?","Man tafruxt ad ak issusm?"
"How are you?","Manik ad tgit?","Tachelhit","Mⴰⵏⵉⴿ ⴰⴷ ⵝⴴⵉⵝ?","Manik ad tgit?","Manik ad tgit?"
"How do you say it in Amazigh?","Manik ar as ttinin s tmaziɣt?","Tachelhit","Mⴰⵏⵉⴿ ⴰⵔ ⴰⵙ ⵝⵝⵉⵏⵉⵏ ⵙ ⵝⵎⴰⵣⵉⵖⵝ?","Manik ar as ttinin s tmaziɣt?","Manik ar as ttinin s tmaziغt?"
"Where are you?","Mani ɣ tllit? ","Tachelhit","Mⴰⵏⵉ ⵖ ⵝⵍⵍⵉⵝ? ","Mani ɣ tllit? ","Mani غ tllit? "
"Where are you?","Manzak? ","Tachelhit","Mⴰⵏⵣⴰⴿ? ","Manzak? ","Manzak? "
"Where is your cave?","Mani ɣ illa ifri nns?","Tachelhit","Mⴰⵏⵉ ⵖ ⵉⵍⵍⴰ ⵉⴼⵔⵉ ⵏⵏⵙ?","Mani ɣ illa ifri nns?","Mani غ illa ifri nns?"
"Where did you go, brother?","Mani s tddit, a gma?","Tachelhit","Mⴰⵏⵉ ⵙ ⵝⴷⴷⵉⵝ, ⴰ ⴴⵎⴰ?","Mani s tddit, a gma?","Mani s tddit, a gma?"
"Why do you want to learn Amazigh?","Max trit ad tlmdt tamaziɣt?","Tachelhit","Mⴰx ⵝⵔⵉⵝ ⴰⴷ ⵝⵍⵎⴷⵝ ⵝⴰⵎⴰⵣⵉⵖⵝ?","Max trit ad tlmdt tamaziɣt?","Max trit ad tlmdt tamaziغt?"
"Porque ella es la lengua de mis ancestros.","Acku nttat tga tutlayt n imzwura.","Tachelhit","Acⴿⵓ ⵏⵝⵝⴰⵝ ⵝⴴⴰ ⵝⵓⵝⵍⴰⵢⵝ ⵏ ⵉⵎⵣⵡⵓⵔⴰ.","Acku nttat tga tutlayt n imzwura.","Acku nttat tga tutlayt n imzwura."
"Why did you steal the goat from the shepherd?","Maf tukrt taɣaḍt i umksa?","Tachelhit","Mⴰⴼ ⵝⵓⴿⵔⵝ ⵝⴰⵖⴰⴺⵝ ⵉ ⵓⵎⴿⵙⴰ?","Maf tukrt taɣaḍt i umksa?","Maf tukrt taغaḍt i umksa?"
"When will you go to the beach?","Managu rad tftut s taɣart?","Tachelhit","Mⴰⵏⴰⴴⵓ ⵔⴰⴷ ⵝⴼⵝⵓⵝ ⵙ ⵝⴰⵖⴰⵔⵝ?","Managu rad tftut s taɣart?","Managu rad tftut s taغart?"
"When will you study our language?","Managu rad tɣert tutlayt nnɣ?"," Tachelhit","Mⴰⵏⴰⴴⵓ ⵔⴰⴷ ⵝⵖⴻⵔⵝ ⵝⵓⵝⵍⴰⵢⵝ ⵏⵏⵖ?","Managu rad tɣert tutlayt nnɣ?","Managu rad tغert tutlayt nnغ?"
"How much is this worth?","Menckk ad iskar wad?"," Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵉⵙⴿⴰⵔ ⵡⴰⴷ?","Menckk ad iskar wad?","Menckk ad iskar wad?"
"How much water is in the well?","Menck n waman ad illan g wanu?"," Tachelhit","Mⴻⵏcⴿ ⵏ ⵡⴰⵎⴰⵏ ⴰⴷ ⵉⵍⵍⴰⵏ ⴴ ⵡⴰⵏⵓ?","Menck n waman ad illan g wanu?","Menck n waman ad illan g wanu?"
"How old are you?","Mennaw isggasn ad dark illan?"," Tachelhit","Mⴻⵏⵏⴰⵡ ⵉⵙⴴⴴⴰⵙⵏ ⴰⴷ ⴷⴰⵔⴿ ⵉⵍⵍⴰⵏ?","Mennaw isggasn ad dark illan?","Mennaw isggasn ad dark illan?"
"Who is that man?","Mad ad igan argaz ann?","Tachelhit","Mⴰⴷ ⴰⴷ ⵉⴴⴰⵏ ⴰⵔⴴⴰⵣ ⴰⵏⵏ?","Mad ad igan argaz ann?","Mad ad igan argaz ann?"
"Speak slowly.","Sawl s imikk.","Tachelhit","Sⴰⵡⵍ ⵙ ⵉⵎⵉⴿⴿ.","Sawl s imikk.","Sawl s imikk."
"Speak to me in Tamazight.","Sawl iyi s tmaziɣt.","Tachelhit","Sⴰⵡⵍ ⵉⵢⵉ ⵙ ⵝⵎⴰⵣⵉⵖⵝ.","Sawl iyi s tmaziɣt.","Sawl iyi s tmaziغt."
"Give the key to Idir.","Fkiɣ tasarut i Idir.","Tachelhit","Fⴿⵉⵖ ⵝⴰⵙⴰⵔⵓⵝ ⵉ Iⴷⵉⵔ.","Fkiɣ tasarut i Idir.","Fkiغ tasarut i Idir."
"I gave him the key.","Fkiɣ as tasarut.","Tachelhit","Fⴿⵉⵖ ⴰⵙ ⵝⴰⵙⴰⵔⵓⵝ.","Fkiɣ as tasarut.","Fkiغ as tasarut."
"I have given you water.","Fkiɣ awn aman.","Tachelhit","Fⴿⵉⵖ ⴰⵡⵏ ⴰⵎⴰⵏ.","Fkiɣ awn aman.","Fkiغ awn aman."
"He showed me the way.","Imla iyi abrid.","Tachelhit","Iⵎⵍⴰ ⵉⵢⵉ ⴰⴲⵔⵉⴷ.","Imla iyi abrid.","Imla iyi abrid."
"Tell me.","Ini iyi.","Tachelhit","Iⵏⵉ ⵉⵢⵉ.","Ini iyi.","Ini iyi."
"He told us something.","Inna aɣ kra.","Tachelhit","Iⵏⵏⴰ ⴰⵖ ⴿⵔⴰ.","Inna aɣ kra.","Inna aغ kra."
"What is this?","Mad iga ɣayad?","Tachelhit","Mⴰⴷ ⵉⴴⴰ ⵖⴰⵢⴰⴷ?","Mad iga ɣayad?","Mad iga غayad?"
"What is the number of this in Amazigh?","Ma ism n ɣayad s tmaziɣt?","Tachelhit","Mⴰ ⵉⵙⵎ ⵏ ⵖⴰⵢⴰⴷ ⵙ ⵝⵎⴰⵣⵉⵖⵝ?","Ma ism n ɣayad s tmaziɣt?","Ma ism n غayad s tmaziغt?"
"This is my brother.","Wad gma.","Tachelhit","Wⴰⴷ ⴴⵎⴰ.","Wad gma.","Wad gma."
"This is my sister.","Tad ultma.","Tachelhit","Tⴰⴷ ⵓⵍⵝⵎⴰ.","Tad ultma.","Tad ultma."
"This is the student.","Wad iga anlmad.","Tachelhit","Wⴰⴷ ⵉⴴⴰ ⴰⵏⵍⵎⴰⴷ.","Wad iga anlmad.","Wad iga anlmad."
"These are the students.","Wid gan inlmadn.","Tachelhit","Wⵉⴷ ⴴⴰⵏ ⵉⵏⵍⵎⴰⴷⵏ.","Wid gan inlmadn.","Wid gan inlmadn."
"This is the teacher.","Wad iga aslmad.","Tachelhit","Wⴰⴷ ⵉⴴⴰ ⴰⵙⵍⵎⴰⴷ.","Wad iga aslmad.","Wad iga aslmad."
"This is my hand.","Wad iga afus inu.","Tachelhit","Wⴰⴷ ⵉⴴⴰ ⴰⴼⵓⵙ ⵉⵏⵓ.","Wad iga afus inu.","Wad iga afus inu."
"These are my hands.","Wid gan ifassn inu.","Tachelhit","Wⵉⴷ ⴴⴰⵏ ⵉⴼⴰⵙⵙⵏ ⵉⵏⵓ.","Wid gan ifassn inu.","Wid gan ifassn inu."
"This is the student.","Tad tga tanlmadt.","Tachelhit","Tⴰⴷ ⵝⴴⴰ ⵝⴰⵏⵍⵎⴰⴷⵝ.","Tad tga tanlmadt.","Tad tga tanlmadt."
