English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
Can you teach me the Amazigh letters?,ⵉⵙ ⵉⵎⴽⵏ ⴰⴷⵉ ⵜⵎⵍⵜ ⵉⵙⴽⵉⵍⵏ ⵏ ⵜⵎⴰⵣⵉⵖⵜ?,Central,ⵉⵙ ⵉⵎⴽⵏ ⴰⴷⵉ ⵜⵎⵍⵜ ⵉⵙⴽⵉⵍⵏ ⵏ ⵜⵎⴰⵣⵉⵖⵜ?,يس يمكن ادي تملت يسكيلن ن تمازيغت?,is imkn adi tmlt iskiln n tmaziɣt?
What do you know about Amazigh history and identity?,ⵎⴰⵢⵜⵙⵏⵜ ⵅⴼ ⵓⵎⵣⵔⵓⵢ ⴷ ⵜⵎⴰⴳⵉⵜ ⵜⴰⵎⴰⵣⵉⵖⵜ?,Central,ⵎⴰⵢⵜⵙⵏⵜ ⵅⴼ ⵓⵎⵣⵔⵓⵢ ⴷ ⵜⵎⴰⴳⵉⵜ ⵜⴰⵎⴰⵣⵉⵖⵜ?,مايتسنت خف ومزروي د تماڭيت تامازيغت?,maytsnt 5f umzruy d tmagit tamaziɣt?
I have many questions.,ⵖⵓⵔⵉ ⵛⵉⴳⴰⵏ ⵏ ⵉⵙⵇⵙⵉⵜⵏ ,Central,ⵖⵓⵔⵉ ⵛⵉⴳⴰⵏ ⵏ ⵉⵙⵇⵙⵉⵜⵏ ,غوري شيڭان ن يسقسيتن ,ɣuri shigan n is9sitn 
I just woke up.,ⵎⵃⵔⴰ-ⴷ ⴼⴰⴼⴰⵖ,Central,ⵎⵃⵔⴰ-ⴷ ⴼⴰⴼⴰⵖ,محرا-د فافاغ,mḥra-d fafaɣ
I want to cook something delicious today.,ⵔⵉⵖ ⴰⴷ ⵙⵏⵡⵖ ⴽⵔⴰ ⵢⴰⴹⴼⵓⵜⵏ ⴰⵙⵙⴰ,Central,ⵔⵉⵖ ⴰⴷ ⵙⵏⵡⵖ ⴽⵔⴰ ⵢⴰⴹⴼⵓⵜⵏ ⴰⵙⵙⴰ,ريغ اد سنوغ كرا ياضفوتن اسسا,riɣ ad snwɣ kra yaḍfutn assa
hello,ⴰⵣⵓⵍ,Central,ⴰⵣⵓⵍ,ازول,azul
the forest,ⵜⴰⴳⴰⵏⵜ,Central,ⵜⴰⴳⴰⵏⵜ,تاڭانت,tagant
the Union,ⵜⴰⵎⵓⵏⵜ,Central,ⵜⴰⵎⵓⵏⵜ,تامونت,tamunt
homeland,ⵜⴰⵎⵓⵔⵜ,Central,ⵜⴰⵎⵓⵔⵜ,تامورت,tamurt
the east,ⴰⵏⵇⴰⵔ,Central,ⴰⵏⵇⴰⵔ,انقار,an9ar
Sunset,ⴰⵖⵍⴰⵢ ⵏ ⵜⴰⴼⵓⵢⵜ,Central,ⴰⵖⵍⴰⵢ ⵏ ⵜⴰⴼⵓⵢⵜ,اغلاي ن تافويت,aɣlay n tafuyt
Hello,ⴰⵣⵓⵍ,Tachelhit,ⴰⵣⵓⵍ,ازول,azul
Hello,ⴰⵣⵓⵍ,Tarifit,ⴰⵣⵓⵍ,ازول,azul
How are you? ,ⵎⴰⵏⵉⴽ ⴰⵜ ⵜⴳⵉⵜ? ,Tachelhit,ⵎⴰⵏⵉⴽ ⴰⵜ ⵜⴳⵉⵜ? ,مانيك ات تڭيت? ,manik at tgit? 
How are you? ,ⵎⴰⵏⵉⴽ ⴰⵜ ⵜⴳⵉⵜ? ,Tachelhit,ⵎⴰⵏⵉⴽ ⴰⵜ ⵜⴳⵉⵜ? ,مانيك ات تڭيت? ,manik at tgit? 
"Good, fine",ⵎⵍⵉⵃ ,Tachelhit,ⵎⵍⵉⵃ ,مليح ,mliḥ 
Good morning ,ⵜⵉⴼⴰⵡⵉⵏ ,Tachelhit,ⵜⵉⴼⴰⵡⵉⵏ ,تيفاوين ,tifawin 
Good afternoon ,ⵜⵉⵎⴽⵍⵉⵡⵉⵏ,Tachelhit,ⵜⵉⵎⴽⵍⵉⵡⵉⵏ,تيمكليوين,timkliwin
Good evening ,ⵜⵉⵎⵏⵙⵉⵡⵉⵏ,Tachelhit,ⵜⵉⵎⵏⵙⵉⵡⵉⵏ,تيمنسيوين,timnsiwin
Eleven.,ⵢⴰⵏ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵢⴰⵏ ⴷ ⵎⵔⴰⵡ.,يان د مراو.,yan d mraw.
Twelve.,ⵙⵉⵏ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵙⵉⵏ ⴷ ⵎⵔⴰⵡ.,سين د مراو.,sin d mraw.
Thirteen,ⴽⵔⴰⴹ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⴽⵔⴰⴹ ⴷ ⵎⵔⴰⵡ.,كراض د مراو.,kraḍ d mraw.
Fourteen.,ⴽⴽⵓⵣ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⴽⴽⵓⵣ ⴷ ⵎⵔⴰⵡ.,ككوز د مراو.,kkuz d mraw.
Fifteen.,ⵙⵎⵎⵓⵙ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵙⵎⵎⵓⵙ ⴷ ⵎⵔⴰⵡ.,سمموس د مراو.,smmus d mraw.
Sixteen.,ⵙⴹⵉⵙ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵙⴹⵉⵙ ⴷ ⵎⵔⴰⵡ.,سضيس د مراو.,sḍis d mraw.
Seventeen.,ⵙⴰ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵙⴰ ⴷ ⵎⵔⴰⵡ.,سا د مراو.,sa d mraw.
Eighteen.,ⵜⴰⵎ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵜⴰⵎ ⴷ ⵎⵔⴰⵡ.,تام د مراو.,tam d mraw.
Nineteen.,ⵜⵥⴰ ⴷ ⵎⵔⴰⵡ.,Tachelhit,ⵜⵥⴰ ⴷ ⵎⵔⴰⵡ.,تزّا د مراو.,tẓa d mraw.
Twenty.,ⵙⵉⵎⵔⴰⵡ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ.,سيمراو.,simraw.
Twenty one.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵢⴰⵏ,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵢⴰⵏ,سيمراو د يان,simraw d yan
Twenty two.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⵉⵏ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⵉⵏ.,سيمراو د سين.,simraw d sin.
Twenty three.,ⵙⵉⵎⵔⴰⵡ ⴷ ⴽⵔⴰⴹ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⴽⵔⴰⴹ.,سيمراو د كراض.,simraw d kraḍ.
Twenty four.,ⵙⵉⵎⵔⴰⵡ ⴷ ⴽⴽⵓⵥ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⴽⴽⵓⵥ.,سيمراو د ككوزّ.,simraw d kkuẓ.
Twenty five.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ.,سيمراو د سمموس.,simraw d smmus.
Twenty six.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ.,سيمراو د سضيس.,simraw d sḍis.
Twenty seven.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⴰ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⴰ.,سيمراو د سا.,simraw d sa.
Twenty eight.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵜⴰⵎ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵜⴰⵎ.,سيمراو د تام.,simraw d tam.
Twenty nine.,ⵙⵉⵎⵔⴰⵡ ⴷ ⵜⵥⴰ.,Tachelhit,ⵙⵉⵎⵔⴰⵡ ⴷ ⵜⵥⴰ.,سيمراو د تزّا.,simraw d tẓa.
Thirty.,ⴽⵔⴰⵎⵔⴰⵡ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ.,كرامراو.,kramraw.
Thirty one.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵢⴰⵏ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵢⴰⵏ.,كرامراو د يان.,kramraw d yan.
Thirty two.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⵉⵏ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⵉⵏ.,كرامراو د سين.,kramraw d sin.
Thirty four.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⴽⴽⵓⵥ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⴽⴽⵓⵥ.,كرامراو د ككوزّ.,kramraw d kkuẓ.
Thirty five.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ.,كرامراو د سمموس.,kramraw d smmus.
Thirty six.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ.,كرامراو د سضيس.,kramraw d sḍis.
Thirty seven.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⴰ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵙⴰ.,كرامراو د سا.,kramraw d sa.
Thirty eight.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵜⴰⵎ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵜⴰⵎ.,كرامراو د تام.,kramraw d tam.
Thirty nine.,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵜⵥⴰ.,Tachelhit,ⴽⵔⴰⵎⵔⴰⵡ ⴷ ⵜⵥⴰ.,كرامراو د تزّا.,kramraw d tẓa.
Forty.,ⴽⴽⵓⵎⵔⴰⵡ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ.,ككومراو.,kkumraw.
Forty one.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵢⴰⵏ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵢⴰⵏ.,ككومراو د يان.,kkumraw d yan.
forty two.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⵉⵏ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⵉⵏ.,ككومراو د سين.,kkumraw d sin.
Forty three.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⴽⵔⴰⴹ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⴽⵔⴰⴹ.,ككومراو د كراض.,kkumraw d kraḍ.
Forty five.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ.,ككومراو د سمموس.,kkumraw d smmus.
Forty six.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ.,ككومراو د سضيس.,kkumraw d sḍis.
Forty seven.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⴰ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵙⴰ.,ككومراو د سا.,kkumraw d sa.
Forty eight.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵜⴰⵎ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵜⴰⵎ.,ككومراو د تام.,kkumraw d tam.
Forty nine.,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵜⵥⴰ.,Tachelhit,ⴽⴽⵓⵎⵔⴰⵡ ⴷ ⵜⵥⴰ.,ككومراو د تزّا.,kkumraw d tẓa.
Fifty.,ⵙⵎⵎⵓⵎⵔⴰⵡ.,Tachelhit,ⵙⵎⵎⵓⵎⵔⴰⵡ.,سممومراو.,smmumraw.
Take care of yourself.,- ⵜⵀⵍⵍⴰ ⵖ ⵉⵅⴼ ⵏⴽ.- ⵜⵀⵍⵍⴰ ⵖ ⵓⴳⴰⵢⵢⵓ ⵏⴽ.,Tachelhit,- ⵜⵀⵍⵍⴰ ⵖ ⵉⵅⴼ ⵏⴽ.- ⵜⵀⵍⵍⴰ ⵖ ⵓⴳⴰⵢⵢⵓ ⵏⴽ.,- تهللا غ يخف نك.- تهللا غ وڭاييو نك.,- thlla ɣ i5f nk.- thlla ɣ ugayyu nk.
It is raining.,- ⴰⵔ ⵉⴽⴽⴰⵜ ⵓⵏⵥⴰⵕ.- ⴰⵔ ⵉⵟⵟⴰⵔ ⵓⵏⵥⴰⵕ.,Tachelhit,- ⴰⵔ ⵉⴽⴽⴰⵜ ⵓⵏⵥⴰⵕ.- ⴰⵔ ⵉⵟⵟⴰⵔ ⵓⵏⵥⴰⵕ.,- ار يككات ونزّارّ.- ار يططار ونزّارّ.,- ar ikkat unẓaṛ.- ar iṭṭar unẓaṛ.
It is snowing.,- ⴰⵔ ⵉⵟⵟⴰⵔ ⵓⴷⴼⵍ.,Tachelhit,- ⴰⵔ ⵉⵟⵟⴰⵔ ⵓⴷⴼⵍ.,- ار يططار ودفل.,- ar iṭṭar udfl.
Snow.,ⴰⴷⴼⵍ.,Tachelhit,ⴰⴷⴼⵍ.,ادفل.,adfl.
Team.,ⵜⴰⵔⴰⴱⴱⵓⵜ.,Tachelhit,ⵜⴰⵔⴰⴱⴱⵓⵜ.,تاراببوت.,tarabbut.
- Football team.- Soccer team.,- ⵜⴰⵔⴰⴱⴱⵓⵜ ⵏ ⵜⵡⵊⵊⴰ ⵏⵓⴹⴰⵕ.- ⵜⴰⵔⴰⴱⴱⵓⵜ ⵏ ⴷⴷⴰⴱⵅ ⵏ ⵓⴹⴰⵕ.- ⵜⴰⵔⴰⴱⴱⵓⵜ ⵏ ⵜⵛⴰⵎⵎⴰ ⵏ ⵓⴹⴰⵕ.,Tachelhit,- ⵜⴰⵔⴰⴱⴱⵓⵜ ⵏ ⵜⵡⵊⵊⴰ ⵏⵓⴹⴰⵕ.- ⵜⴰⵔⴰⴱⴱⵓⵜ ⵏ ⴷⴷⴰⴱⵅ ⵏ ⵓⴹⴰⵕ.- ⵜⴰⵔⴰⴱⴱⵓⵜ ⵏ ⵜⵛⴰⵎⵎⴰ ⵏ ⵓⴹⴰⵕ.,- تاراببوت ن توججا نوضارّ.- تاراببوت ن ددابخ ن وضارّ.- تاراببوت ن تشامما ن وضارّ.,- tarabbut n twjja nuḍaṛ.- tarabbut n ddab5 n uḍaṛ.- tarabbut n tshamma n uḍaṛ.
Facebook.,ⴼⴰⵢⵙⴱⵓⴽ.,Tachelhit,ⴼⴰⵢⵙⴱⵓⴽ.,فايسبوك.,faysbuk.
X,ⵉⴽⵙ.,Tachelhit,ⵉⴽⵙ.,يكس.,iks.
Snap chat.,ⵙⵏⴰⴱ ⵛⴰⵜ.,Tachelhit,ⵙⵏⴰⴱ ⵛⴰⵜ.,سناب شات.,snab shat.
Instagram.,ⵉⵏⵙⵜⴰⴳⵔⴰⵎ.,Tachelhit,ⵉⵏⵙⵜⴰⴳⵔⴰⵎ.,ينستاڭرام.,instagram.
Google.,ⴳⵓⴳⵍ.,Tachelhit,ⴳⵓⴳⵍ.,ڭوڭل.,gugl.
Say something.,ⵉⵏⵉ ⴽⵔⴰ.,Tachelhit,ⵉⵏⵉ ⴽⵔⴰ.,يني كرا.,ini kra.
Today.,ⴰⵙⵙⴰ.,Tachelhit,ⴰⵙⵙⴰ.,اسسا.,assa.
Yesterday.,- ⵉⴹⴳⴰⵎ.- ⵉⴹⵍⵍⵉ.- ⴰⵙⵙⵏⵏⴰⵟ.,Tachelhit,- ⵉⴹⴳⴰⵎ.- ⵉⴹⵍⵍⵉ.- ⴰⵙⵙⵏⵏⴰⵟ.,- يضڭام.- يضللي.- اسسنناط.,- iḍgam.- iḍlli.- assnnaṭ.
Lost and found.,ⵜⵊⵍⴰ ⵏⵓⴼⴰⵜ.,Tachelhit,ⵜⵊⵍⴰ ⵏⵓⴼⴰⵜ.,تجلا نوفات.,tjla nufat.
Which year?,ⵎⴰⵏ ⴰⵙⴳⴳⵯⴰⵙ ?,Tachelhit,ⵎⴰⵏ ⴰⵙⴳⴳⵯⴰⵙ ?,مان اسڭڭⵯاس ?,man asggⵯas ?
I am hungry.,ⵢⴰⵖⵉ ⵍⴰⵥ.,Tachelhit,ⵢⴰⵖⵉ ⵍⴰⵥ.,ياغي لازّ.,yaɣi laẓ.
I am thirsty.,- ⵢⴰⵖⵉ ⵉⵔⵉⴼⵉ.- ⵢⴰⵖⵉ ⴼⴰⴷ.,Tachelhit,- ⵢⴰⵖⵉ ⵉⵔⵉⴼⵉ.- ⵢⴰⵖⵉ ⴼⴰⴷ.,- ياغي يريفي.- ياغي فاد.,- yaɣi irifi.- yaɣi fad.
I don't know.,ⵓⵔ ⵙⵙⵉⵏⵖ.,Tachelhit,ⵓⵔ ⵙⵙⵉⵏⵖ.,ور سسينغ.,ur ssinɣ.
What is his name?,ⵎⴰⴷ ⵉⴳⴰⵏ ⴰⵙⵙⴰⵖ ⵏⵙ ?,Tachelhit,ⵎⴰⴷ ⵉⴳⴰⵏ ⴰⵙⵙⴰⵖ ⵏⵙ ?,ماد يڭان اسساغ نس ?,mad igan assaɣ ns ?
Send me a letter.,ⴰⵣⵏ ⵉ ⴷ ⵢⴰⵜ ⵜⴰⴱⵔⴰⵜ.,Tachelhit,ⴰⵣⵏ ⵉ ⴷ ⵢⴰⵜ ⵜⴰⴱⵔⴰⵜ.,ازن ي د يات تابرات.,azn i d yat tabrat.
Bad dinner is better than bad words.,ⵢⵓⴼ ⴳⴰⵔ ⵉⵎⵏⵙⵉ ⴳⴰⵔ ⴰⵡⴰⵍ.,Tachelhit,ⵢⵓⴼ ⴳⴰⵔ ⵉⵎⵏⵙⵉ ⴳⴰⵔ ⴰⵡⴰⵍ.,يوف ڭار يمنسي ڭار اوال.,yuf gar imnsi gar awal.
Without water there is no life. Water is essential for the survival and well-being of people.,ⵓⵔ ⵜⵍⵍⵉ ⵜⵓⴷⵔⵜ ⵎⴽ ⵓⵔ ⵍⵍⵉⵏ ⵡⴰⵎⴰⵏ. ⴰⵎⴰⵏ ⴳⴰⵏ ⵢⴰⵏ ⵓⴼⵔⴹⵉⵙ ⴰⵙⵉⵍⴰⵏ ⴰⴼⴰⴷ ⴰⴷ ⵉⴷⵉⵔⵏ ⵎⴷⴷⵏ ⵉⵍⵉⵏ ⴳ ⵓⵙⵎⵓⵣⵣⵓ.,Central,ⵓⵔ ⵜⵍⵍⵉ ⵜⵓⴷⵔⵜ ⵎⴽ ⵓⵔ ⵍⵍⵉⵏ ⵡⴰⵎⴰⵏ. ⴰⵎⴰⵏ ⴳⴰⵏ ⵢⴰⵏ ⵓⴼⵔⴹⵉⵙ ⴰⵙⵉⵍⴰⵏ ⴰⴼⴰⴷ ⴰⴷ ⵉⴷⵉⵔⵏ ⵎⴷⴷⵏ ⵉⵍⵉⵏ ⴳ ⵓⵙⵎⵓⵣⵣⵓ.,ور تللي تودرت مك ور للين وامان. امان ڭان يان وفرضيس اسيلان افاد اد يديرن مددن يلين ڭ وسموززو.,ur tlli tudrt mk ur llin waman. aman gan yan ufrḍis asilan afad ad idirn mddn ilin g usmuzzu.
This is why we have the duty not to waste water. Only through correct water management can it be avoided that no inhabitant will be left without water. ,ⵖⵉⴼ ⵓⵢⴰ ⴰⵙ ⵉⴷⴷ ⵛⵛⵉⵍ-ⴰⵖ ⵓⵔ ⵏⵙⵅⵙⴰⵔ ⴰⵎⴰⵏ. ⵖⴰⵙ ⵙ ⵢⴰ ⵓⵙⵡⵓⴷⴷⵓ ⵉⵏⵎⵏ ⵉ ⵡⴰⵎⴰⵏ ⴰⵙ ⵓⵔ ⵉⵏⵏⵉ ⴰⴷ ⵉⵇⵇⵉⵎ ⴰⵡⴷ ⵢⴰⵏ ⵓⵎⵣⴷⵓⵖ ⴱⵍⴰ ⴰⵎⴰⵏ. ,Central,ⵖⵉⴼ ⵓⵢⴰ ⴰⵙ ⵉⴷⴷ ⵛⵛⵉⵍ-ⴰⵖ ⵓⵔ ⵏⵙⵅⵙⴰⵔ ⴰⵎⴰⵏ. ⵖⴰⵙ ⵙ ⵢⴰ ⵓⵙⵡⵓⴷⴷⵓ ⵉⵏⵎⵏ ⵉ ⵡⴰⵎⴰⵏ ⴰⵙ ⵓⵔ ⵉⵏⵏⵉ ⴰⴷ ⵉⵇⵇⵉⵎ ⴰⵡⴷ ⵢⴰⵏ ⵓⵎⵣⴷⵓⵖ ⴱⵍⴰ ⴰⵎⴰⵏ. ,غيف ويا اس يدد ششيل-اغ ور نسخسار امان. غاس س يا وسووددو ينمن ي وامان اس ور ينني اد يققيم اود يان ومزدوغ بلا امان. ,ɣif uya as idd shshil-aɣ ur ns5sar aman. ɣas s ya uswuddu inmn i waman as ur inni ad i99im awd yan umzduɣ bla aman. 
It is a valuable element that facilitates prosperity for people and towns. ,ⵉⴳⴰ ⵢⴰⵏ ⵓⴼⵔⴷⵉⵙ ⵓⵥⵔⵉⴼ ⴷⴰ ⵉ ⵙⵙⵡⵀⴰⵏⵏ ⴰⴱⵓⵖⵔⵓ ⵉ ⵎⴷⴷⵏ ⴷ ⵉⵖⵔⴼⴰⵏ.,Central,ⵉⴳⴰ ⵢⴰⵏ ⵓⴼⵔⴷⵉⵙ ⵓⵥⵔⵉⴼ ⴷⴰ ⵉ ⵙⵙⵡⵀⴰⵏⵏ ⴰⴱⵓⵖⵔⵓ ⵉ ⵎⴷⴷⵏ ⴷ ⵉⵖⵔⴼⴰⵏ.,يڭا يان وفرديس وزّريف دا ي سسوهانن ابوغرو ي مددن د يغرفان.,iga yan ufrdis uẓrif da i sswhann abuɣru i mddn d iɣrfan.
All development that aims to be sustainable and equitable in terms of natural resources and wealth must have a rational management of water.,ⴰⴽⴽⵯ ⵎⴰⵜⵜⴰ ⵜⴳⵎⵉ ⵉⵔⴰⵏ ⴰⴷ ⵉⴳ ⵜⴰⵙⵓⵍⴰⵏⵜ ⴷ ⵜⵏⵙⵙⵓⵎⵓⵜ ⴳ ⵉⴳⵔ ⵏ ⵉⵙⵓⴳⴰⵎ ⵉⴳⴰⵎⴰⵏⵏ ⴷ ⵜⵢⴰⵡⴰⵏⵜ ⵉⵇⵇⴰⵏⵏ ⴰⴷ ⵜⵙⵙⴽⴰⵔ ⵢⴰⵏ ⵓⵙⵡⵓⴷⴷⵓ ⴰⵎⵏⵍⵍⵉ ⵉ ⵡⴰⵎⴰⵏ.,Central,ⴰⴽⴽⵯ ⵎⴰⵜⵜⴰ ⵜⴳⵎⵉ ⵉⵔⴰⵏ ⴰⴷ ⵉⴳ ⵜⴰⵙⵓⵍⴰⵏⵜ ⴷ ⵜⵏⵙⵙⵓⵎⵓⵜ ⴳ ⵉⴳⵔ ⵏ ⵉⵙⵓⴳⴰⵎ ⵉⴳⴰⵎⴰⵏⵏ ⴷ ⵜⵢⴰⵡⴰⵏⵜ ⵉⵇⵇⴰⵏⵏ ⴰⴷ ⵜⵙⵙⴽⴰⵔ ⵢⴰⵏ ⵓⵙⵡⵓⴷⴷⵓ ⴰⵎⵏⵍⵍⵉ ⵉ ⵡⴰⵎⴰⵏ.,اككⵯ ماتتا تڭمي يران اد يڭ تاسولانت د تنسسوموت ڭ يڭر ن يسوڭام يڭامانن د تياوانت يققانن اد تسسكار يان وسووددو امنللي ي وامان.,akkⵯ matta tgmi iran ad ig tasulant d tnssumut g igr n isugam igamann d tyawant i99ann ad tsskar yan uswuddu amnlli i waman.
Do you speak English ?,ⵉⵙ ⴰⵔ ⵜⵙⴰⵡⴰⵍⵜ ⵜⵉⵏⴳⵍⵉⵣⵉⵜ ?,Tachelhit,ⵉⵙ ⴰⵔ ⵜⵙⴰⵡⴰⵍⵜ ⵜⵉⵏⴳⵍⵉⵣⵉⵜ ?,يس ار تساوالت تينڭليزيت ?,is ar tsawalt tinglizit ?
Hi! How are you?,ⴰⵣⵓⵍ! ⴰⵏⴽⴰ ⵏⵏ ⵜⴳⵉⵜ?,Tachelhit,ⴰⵣⵓⵍ! ⴰⵏⴽⴰ ⵏⵏ ⵜⴳⵉⵜ?,ازول! انكا نن تڭيت?,azul! anka nn tgit?
What time is it?,ⵎⵏⵛⴽ ⴰ ⵉⵍⵍⴰⵏ ⴳ ⵜⵙⵔⴰⴳⵜ?,Tachelhit,ⵎⵏⵛⴽ ⴰ ⵉⵍⵍⴰⵏ ⴳ ⵜⵙⵔⴰⴳⵜ?,منشك ا يللان ڭ تسراڭت?,mnshk a illan g tsragt?
It's a sunny day.,ⴰⵙⵙⴰ ⴷ ⵉⵔⵖⴰ ⴱⴰⵀⵔⴰ.,Tachelhit,ⴰⵙⵙⴰ ⴷ ⵉⵔⵖⴰ ⴱⴰⵀⵔⴰ.,اسسا د يرغا باهرا.,assa d irɣa bahra.
The capital of Morocco is Rabat.,ⵜⴰⵎⴰⵏⴰⵖⵜ ⵏ ⵓⵎⵓⵔⴰⴽⵓⵛ ⵜⴳⴰ ⵜ ⵕⵕⴱⴰⵟ.,Tachelhit,ⵜⴰⵎⴰⵏⴰⵖⵜ ⵏ ⵓⵎⵓⵔⴰⴽⵓⵛ ⵜⴳⴰ ⵜ ⵕⵕⴱⴰⵟ.,تاماناغت ن وموراكوش تڭا ت رّرّباط.,tamanaɣt n umurakush tga t ṛṛbaṭ.
Hello ,ⴰⵣⵓⵍ ,Tachelhit,ⴰⵣⵓⵍ ,ازول ,azul 
It has to be here somewhere.,Iqqan d ad yili ɣ kra n mani ɣid.,Tachelhit,ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵢⵉⵍⵉ ⵖ ⴽⵔⴰ ⵏ ⵎⴰⵏⵉ ⵖⵉⴷ.,يققان د اد ييلي غ كرا ن ماني غيد.,i99an d ad yili ɣ kra n mani ɣid.
"Hurry, or you'll be late for school.","Ɣawl, niɣ rad tmaṭlt f tinml.",Tachelhit,"Ɣⴰⵡⵍ, ⵏⵉⵖ ⵔⴰⴷ ⵜⵎⴰⵟⵍⵜ ⴼ ⵜⵉⵏⵎⵍ.","غاول, نيغ راد تماطلت ف تينمل.","ghawl, niɣ rad tmaṭlt f tinml."
Ziri collected the money.,Ziri ismun d aqaṛiḍ.,Tachelhit,ⵣⵉⵔⵉ ⵉⵙⵎⵓⵏ ⴷ ⴰⵇⴰⵕⵉⴹ.,زيري يسمون د اقارّيض.,ziri ismun d a9aṛiḍ.
This is my daughter.,ⵉⵍⵍⵉ ⴰⵢⴰ.,Tachelhit,ⵉⵍⵍⵉ ⴰⵢⴰ.,يللي ايا.,illi aya.
His is patient.,ⵉⴳⴰ ⴰⵎⵥⵥⵉⴹⵕ,Tachelhit,ⵉⴳⴰ ⴰⵎⵥⵥⵉⴹⵕ,يڭا امزّزّيضرّ,iga amẓẓiḍṛ
