English,Tamazight,Tamazight_Latin,Tamazight_Arabic
Missing the end of the last word by cutting off the recording too quickly.,ⴰⵅⵚⵚⴰ ⵏ ⵜⴳⵉⵔⴰ ⵏ ⵜⴳⵓⵔⵉ ⵜⴰⵎⴳⴳⴰⵔⵓⵜ ⵙ ⵡⵓⴱⵓⵢ ⵏ ⵓⵙⵓⵙⵔ ⵙ ⵜⵖⴰⵡⵍⴰ.,akhṣṣa n tgira n tguri tamggarut s wubuy n ususr s tghawla.,اخصصا ن تڭيرا ن تڭوري تامڭڭاروت س ووبوي ن وسوسر س تغاولا.
Validation Progress,ⴰⵍⴰⵢ ⵏ ⵓⵣⵣⵔⴰⵢ,alay n uzzray,الاي ن وززراي
studies,ⵜⵉⵣⵔⴰⵡⵉⵏ,tizrawin,تيزراوين
context,ⴰⵎⵏⴰⴹ,amnaḍ,امناض
{ $totalInReview } sentences in review.,{ $totalInReview } ⵜⵡⵉⵏⴰⵙ ⴳ ⵓⵙⵙⵉⵔⵎ.,{ $totalInReview } twinas g ussirm.,{ $totalInReview } تويناس ڭ وسسيرم.
Back,ⴰⵖⵓⵍ,aghul,اغول
Submit clips,ⴰⵣⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ,azn tussifin,ازن توسسيفين
The giant dino <strong>[cough]</strong> the Triassic.,ⵉⵣⵎⴰ <strong>[ⵜⵓⵙⵓⵜ]</strong> ⵏ ⵡⴰⵟⵍⴰⵚ.,izma <strong>[tusut]</strong> n waṭlaṣ.,يزما <strong>[توسوت]</strong> ن واطلاص.
security keys,ⵜⵉⵙⵓⵔⴰ ⵏ ⵜⵏⴼⵔⵓⵜ,tisura n tnfrut,تيسورا ن تنفروت
Sinhala,ⵜⴰⵙⵉⵏⵀⴰⵍⵉⵜ,tasinhalit,تاسينهاليت
open source,ⴰⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ,asagm uṛẓim,اساڭم ورزّيم
Amharic,ⵜⴰⵎⵀⴰⵔⵉⵜ,tamharit,تامهاريت
remove,ⵙⵉⵜⵜⵢ,sitty,سيتتي
({ $partialSize } of { $totalSize }),({ $partialSize } ⵙⴳ { $totalSize }),({ $partialSize } sg { $totalSize }),({ $partialSize } سڭ { $totalSize })
[Should be “We are”],[ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⴳ “ⵉⵏⵉ ⴰⵙ”],[ikhṣṣa ad tg “ini as”],[يخصصا اد تڭ “يني اس”]
Are you coming? [called by another],ⵔⴰⴷ ⴷ ⵜⴷⴷⵓⴷ? [ⴰⵡⴰⵍ ⵏ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵢⴰⴹⵏ],rad d tddud? [awal n kra n yan yaḍn],راد د تددود? [اوال ن كرا ن يان ياضن]
Shilha,ⵜⴰⵛⵍⵃⵉⵜ,tashlḥit,تاشلحيت
"Yes, we especially want your voice! Part of the aim of Common Voice is to gather as many different accents as possible so that voice recognition services work equally well for everyone. This means donations from non-native speakers are particularly important.","ⵢⴰⵀ, ⵏⵅⵙ ⴰⴳⵕⴹ ⵏⵏⵓⵏ ⵙ ⵓⵥⵍⴰⵢ! ⵢⴰⵏ ⵙⴳ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵉⴳⴰ ⵜ ⵓⵙⵎⵓⵜⵜⵔ ⵏ ⵡⴰⵏⵛⵜ ⵏⵏⴰ ⵎⵉ ⵢⵓⴼⴰ ⵏ ⵉⵙⵓⵙⵔⵓⵜⵏ ⵎⵣⴰⵔⴰⵢⵏⵉⵏ, ⵃⵎⴰ ⴰⴷ ⵙⵡⵓⵔⵓⵢⵏⵜ ⵜⵏⵓⴼⴰ ⵏ ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵎⵍⵉⵃ ⵙ ⵓⵡⵉⴷⵉ ⵉ ⴽⵓⵢⴰⵏ. ⵉⵏⴰⵎⴽ ⵓⵢⴰ ⵎⴰⵙ ⴷ ⵜⵉⴽⴽⵉⵜⵉⵏ ⵙⴳ ⵖⵓⵔ ⵉⵎⵙⵉⵡⵍⵏ ⵏⵏⴰ ⵎⵉ ⵓⵔ ⵜⴳⵉ ⵜⴰ ⵜⵓⵜⵍⵢⴰⵜ ⵏⵏⵙⵏ ⵜⴰⵢⵎⵎⴰⵜ ⴳⴰⵏⵜ ⵜⵉⵅⴰⵜⴰⵔⵉⵏ ⵙ ⵓⵥⵍⴰⵢ.","yah, nkhs agṛḍ nnun s uẓlay! yan sg iwttasn n kamnfuys iga t usmuttr n wansht nna mi yufa n isusrutn mzaraynin, ḥma ad swuruynt tnufa n tukza tagṛḍant mliḥ s uwidi i kuyan. inamk uya mas d tikkitin sg ghur imsiwln nna mi ur tgi ta tutlyat nnsn taymmat gant tikhatarin s uẓlay.","ياه, نخس اڭرض ننون س وزّلاي! يان سڭ يوتتاسن ن كامنفويس يڭا ت وسموتتر ن وانشت ننا مي يوفا ن يسوسروتن مزاراينين, حما اد سووروينت تنوفا ن توكزا تاڭرضانت مليح س وويدي ي كويان. ينامك ويا ماس د تيككيتين سڭ غور يمسيولن ننا مي ور تڭي تا توتليات ننسن تايممات ڭانت تيخاتارين س وزّلاي."
Dhivehi,ⵜⴰⴷⵉⴼⵀⵉⵜ,tadifhit,تاديفهيت
How do I record a high quality voice clip?,ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵙⵓⵙⵔⵖ ⴽⵔⴰ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵙ ⵓⵖⵓⴷⵓ ⴰⵎⴰⵜⵜⴰⵢ?,manmk s rad susrgh kra n tussift tagṛḍant s ughudu amattay?,مانمك س راد سوسرغ كرا ن توسسيفت تاڭرضانت س وغودو اماتتاي?
The giant dinosaurs of the Triassic. Yes.,ⵉⵣⵎⴰⵡⵏ ⵏ ⵡⴰⵟⵍⴰⵚ. ⵢⴰⵀ.,izmawn n waṭlaṣ. yah.,يزماون ن واطلاص. ياه.
{ $rejectedSentences } rejected sentences.,{ $rejectedSentences } ⵜⵡⵉⵏⴰⵙ ⵜⵜⵢⴰⴳⴰⵢⵏⵉⵏ.,{ $rejectedSentences } twinas ttyagaynin.,{ $rejectedSentences } تويناس تتياڭاينين.
Keep track of your progress with a profile and help our voice data be more accurate.,"ⵣⵓⵔⵜⴰⵜ ⴰⵍⴰⵢ ⵏⵏⵓⵏ ⵙ ⴽⵔⴰ ⵏ ⵢⵉⴼⵔⵙ, ⵜⴰⵡⵙⵎ ⵉ ⵉⵙⴼⴽⴰ ⵉⴳⵕⴹⴰⵏⵏ ⵏⵏⵖ ⴰⴷ ⴳⵏ ⵉⵎⵏⵖⴰⴷ ⵓⴳⴳⴰⵔ.","zurtat alay nnun s kra n yifrs, tawsm i isfka igṛḍann nngh ad gn imnghad uggar.","زورتات الاي ننون س كرا ن ييفرس, تاوسم ي يسفكا يڭرضانن ننغ اد ڭن يمنغاد وڭڭار."
We release the dataset every 3 months.,ⵍⴰ ⵏⵙⵙⵓⴼⵓⵖ ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⴽⵓ 3 ⵡⴰⵢⵢⵓⵔⵏ.,la nssufugh tagrumma n isfka ku 3 wayyurn.,لا نسسوفوغ تاڭرومما ن يسفكا كو 3 واييورن.
Translate this page,ⵙⵙⵓⵖⵍ ⵜⴰⵙⵏⴰ ⴰ,ssughl tasna a,سسوغل تاسنا ا
Press { shortcut-play-toggle } to toggle play mode,ⴰⴷⵔ ⵅⴼ { shortcut-play-toggle } ⵉ ⵓⵙⴽⴰⵔ ⵏ ⵜⵖⵔⵉ ⴷ ⵓⵙⴱⴷⴷ ⵏⵏⵙ,adr khf { shortcut-play-toggle } i uskar n tghri d usbdd nns,ادر خف { shortcut-play-toggle } ي وسكار ن تغري د وسبدد ننس
A few bytes,ⴽⵔⴰ ⵏ ⵉⴷ ⴱⴰⵢⵜ,kra n id bayt,كرا ن يد بايت
"You can help build a diverse, open-source dataset by creating a Common Voice profile and contributing your voice.","ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⴰⵡⵙⵎ ⴳ ⵓⵥⴽⴽⵓ ⵏ ⵢⴰⵜ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵉⵎⵢⴰⵏⴰⵡⵏ, ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ, ⵙ ⵓⵙⵏⴼⵍⵓⵍ ⵏ ⵢⴰⵏ ⵉⴼⵔⵙ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴷ ⵡⴰⵔⵔⴰⴳ ⵙ ⵓⴳⵕⴹ ⵏⵏⵓⵏ.","tzmrm ad tawsm g uẓkku n yat tgrumma n isfka imyanawn, n usagm uṛẓim, s usnflul n yan ifrs n kamnfuys d warrag s ugṛḍ nnun.","تزمرم اد تاوسم ڭ وزّككو ن يات تڭرومما ن يسفكا يمياناون, ن وساڭم ورزّيم, س وسنفلول ن يان يفرس ن كامنفويس د وارراڭ س وڭرض ننون."
In-context localization in Pontoon,ⴰⵙⵙⴷⵖⵔ ⴳ ⵓⵎⵏⴰⴹ ⴳ ⴱⵓⵏⵜⵓⵏ,assdghr g umnaḍ g buntun,اسسدغر ڭ ومناض ڭ بونتون
Subscribe,ⵍⵜⵖ,ltgh,لتغ
Ready to contribute?,ⵜⵎⵓⵜⵜⴳⴷ ⴰⴷ ⵜⴰⵔⴳⴷ?,tmuttgd ad targd?,تموتتڭد اد تارڭد?
Taking several attempts to read a word.,ⵉⴳⵉ ⵏ ⵎⵏⵏⴰⵡⵜ ⵜⵉⵔⵎⵉⵜⵉⵏ ⴳ ⵜⵖⵔⵉ ⵏ ⵢⴰⵜ ⵜⴳⵓⵔⵉ.,igi n mnnawt tirmitin g tghri n yat tguri.,يڭي ن منناوت تيرميتين ڭ تغري ن يات تڭوري.
{ $validatedSentences } validated sentences.,{ $validatedSentences } ⵜⵡⵉⵏⴰⵙ ⵣⵔⵢⵏⵉⵏ.,{ $validatedSentences } twinas zrynin.,{ $validatedSentences } تويناس زرينين.
"Would you like to request your voice recordings be deleted too, or do you prefer to keep them in the Common Voice dataset?","ⵉⵙ ⵜⵔⴰⵎ ⴰⴷ ⵜⴻⵜⵜⵔⵎ ⴰⴷ ⵜⵜⵡⴰⴽⴽⵙⵏ ⴰⵡⴷ ⵉⵙⵓⵙⴰⵔ ⵉⴳⵕⴹⴰⵏⵏ ⵏⵏⵓⵏ, ⵏⵖ ⴷ ⵢⵓⴼ ⵖⵓⵔⵓⵏ ⴰⴷ ⵜⵏ ⵜⴰⵊⵊⵎ ⴳ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ?","is tram ad tettrm ad ttwakksn awd isusar igṛḍann nnun, ngh d yuf ghurun ad tn tajjm g tgrumma n isfka n kamnfuys?","يس ترام اد ت°تترم اد تتواككسن اود يسوسار يڭرضانن ننون, نغ د يوف غورون اد تن تاججم ڭ تڭرومما ن يسفكا ن كامنفويس?"
Select the desired language dataset and choose the version you wish to download.,"ⵙⵜⵢⴰⵜ ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⴰ ⵜⵔⴰⵎ, ⵜⴷⵖⵔⵎ ⵜⴰⵍⵇⵇⵎⵜ ⵏⵏⴰ ⵜⵙⵙⵉⵜⵉⵎⵎ ⴰⴷ ⵜⵜ ⵜⴰⴳⵎⵎ.","styat tagrumma n isfka n tutlayt nna tram, tdghrm talqqmt nna tssitimm ad tt tagmm.","ستيات تاڭرومما ن يسفكا ن توتلايت ننا ترام, تدغرم تالققمت ننا تسسيتيمم اد تت تاڭمم."
How do I access and use the dataset?,ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⴰⴷⴼⵖ ⵙⵙⵎⵔⵙⵖ ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ?,manmk s rad adfgh ssmrsgh tagrumma n isfka?,مانمك س راد ادفغ سسمرسغ تاڭرومما ن يسفكا?
"If the sentence does not meet the above criteria, click the ""Reject"" button. If you are unsure about the sentence, you may also skip it and move on to the next one.","ⵎⴽ ⴷ ⵓⵔ ⵜⵎⵙⴰⵙⴰ ⵜⵡⵉⵏⵙⵜ ⴷ ⵉⵙⴱⴷⴰⴷⵏ ⵏⵏⵉⴳ ⴷⴰ, ⴽⵍⵉⴽⵉ ⵅⴼ ⵓⴱⵔⴰ ""ⴰⴳⵢ"". ⵎⴽ ⵓⵔ ⵜⵃⵇⵇⴰⴷ ⴳ ⵜⵡⵉⵏⵙⵜ, ⵜⵖⵉⵢⴷ ⴰⵡⴷ ⴰⴷ ⵜⵜ ⵜⵙⵙⵉⵏⴼⴷ, ⵜⵎⵎⵓⵜⵜⵉⴷ ⵖⵔ ⵜⵓⴹⴼⵉⵕⵜ.","mk d ur tmsasa twinst d isbdadn nnig da, kliki khf ubra ""agy"". mk ur tḥqqad g twinst, tghiyd awd ad tt tssinfd, tmmuttid ghr tuḍfiṛt.","مك د ور تمساسا توينست د يسبدادن ننيڭ دا, كليكي خف وبرا ""اڭي"". مك ور تحققاد ڭ توينست, تغييد اود اد تت تسسينفد, تمموتتيد غر توضفيرت."
Return to Common Voice Datasets,ⴰⵖⵓⵍ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰⵡⵉⵏ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ,aghul ghr tgrummawin n isfka n kamnfuys,اغول غر تڭرومماوين ن يسفكا ن كامنفويس
"We prefer natural/conversational sentences. While phonetic diversity and different words in sentences is important, we are trying to make recording sentences as much fun as possible. Therefore it would be great if you could try to keep your sentences as natural/engaging as possible.","ⵓⴼⵏⵜ ⵖⵓⵔⵏⵖ ⵜⵡⵉⵏⴰⵙ ⵜⵉⴳⴰⵎⴰⵏⵉⵏ/ⴳ ⵉⵍⵍⴰ ⵓⵎⵔⴰⵔⴰ ⵏ ⵡⴰⵡⴰⵍ. ⵡⴰⵅⵅⴰ ⵉⵅⴰⵜⵔ ⵓⵎⵢⴰⵏⴰⵡ ⵉⵎⵙⵉⵙⵍⵉ ⴷ ⵜⴳⵓⵔⵉⵡⵉⵏ ⵎⵣⴰⵔⴰⵢⵏⵉⵏ ⴳ ⵜⵡⵉⵏⵙⵜ, ⵎⴰⵛⴰ ⵍⴰ ⵏⵜⵜⴰⵔⵎ ⴽⵔⴰ ⵙ ⵏⵓⴼⴰ ⴰⴷ ⵏⵙⴽⵔ ⵙⴳ ⵓⵙⵓⵙⵔ ⵏ ⵜⵡⵉⵏⴰⵙ ⵢⴰⵜ ⵜⵖⴰⵡⵙⴰ ⵉⴼⵊⵊⵉⵊⵏ ⴱⴰⵀⵔⴰ. ⵉⵡⴰ ⵔⴰⴷ ⵉⵥⵉⵍ ⵎⴽ ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⴰⵔⵎⵎ ⴰⴷ ⵜⴰⵊⵊⵎ ⵜⵉⵡⵉⵏⴰⵙ ⵏⵏⵓⵏ ⴰⴷ ⴳⵏⵜ ⵜⵉⴳⴰⵎⴰⵏⵉⵏ/ⵜⵉⵎⵙⵙⵓⵖⵓⵏⵉⵏ ⴽⵔⴰ ⵙ ⵜⵓⴼⴰⵎ.","ufnt ghurngh twinas tigamanin/g illa umrara n wawal. wakhkha ikhatr umyanaw imsisli d tguriwin mzaraynin g twinst, masha la nttarm kra s nufa ad nskr sg ususr n twinas yat tghawsa ifjjijn bahra. iwa rad iẓil mk tzmrm ad tarmm ad tajjm tiwinas nnun ad gnt tigamanin/timssughunin kra s tufam.","وفنت غورنغ تويناس تيڭامانين/ڭ يللا ومرارا ن واوال. واخخا يخاتر ومياناو يمسيسلي د تڭوريوين مزاراينين ڭ توينست, ماشا لا نتتارم كرا س نوفا اد نسكر سڭ وسوسر ن تويناس يات تغاوسا يفججيجن باهرا. يوا راد يزّيل مك تزمرم اد تارمم اد تاججم تيويناس ننون اد ڭنت تيڭامانين/تيمسسوغونين كرا س توفام."
Yes,ⵢⴰⵀ,yah,ياه
How to,ⵎⴰⵏⵎⴽ ⵙ,manmk s,مانمك س
How can I get the Common Voice data?,ⵎⴰⵏⵎⴽ ⵙ ⵣⵎⵔⵖ ⴰⴷ ⵟⵟⴼⵖ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ?,manmk s zmrgh ad ṭṭfgh isfka n kamnfuys?,مانمك س زمرغ اد ططفغ يسفكا ن كامنفويس?
You cannot request your recordings while another request is already in progress.,ⵓⵔ ⵜⵣⵎⵉⵔⵎ ⴰⴷ ⵜⴻⵜⵜⵔⵎ ⵉⵙⵓⵙⴰⵔ ⵏⵏⵓⵏ ⴽⵓⴷⵏⵏⴰ ⵢⴰⴷ ⵜⵍⵍⴰ ⴽⵔⴰ ⵏ ⵜⵓⵜⵜⵔⴰ ⵢⴰⴹⵏ ⴳ ⵡⴰⵍⴰⵢ.,ur tzmirm ad tettrm isusar nnun kudnna yad tlla kra n tuttra yaḍn g walay.,ور تزميرم اد ت°تترم يسوسار ننون كودننا ياد تللا كرا ن توتترا ياضن ڭ والاي.
Success,ⴰⵎⵓⵔⵙ,amurs,امورس
Delete from History,ⴽⴽⵙ ⵙⴳ ⵓⵎⵣⵔⵓⵢ,kks sg umzruy,ككس سڭ ومزروي
Your files are being assembled. Please check again later.,"ⵍⴰ ⵜⵜⵎⵓⵏⵏ ⵉⴼⵓⵢⵍⴰ ⵏⵏⵓⵏ. ⵎⴽ ⵜⵓⴼⴰⵎ, ⵛⴰⴱⴱⴰⵢⴰⵜ ⴷⴰⵖ ⴽⵓⴷⵏⵏⴰ.","la ttmunn ifuyla nnun. mk tufam, shabbayat dagh kudnna.","لا تتمونن يفويلا ننون. مك توفام, شاببايات داغ كودننا."
Georgian,ⵜⴰⵊⵢⵓⵕⵊⵉⵢⵜ,tajyuṛjiyt,تاجيورجييت
Breton,ⵜⴰⴱⵕⵓⵟⵓⵏⵜ,tabṛuṭunt,تابروطونت
Firefox,ⴼⴰⵢⵔⴼⵓⴽⵙ,fayrfuks,فايرفوكس
"With a profile, you can keep track of your activity and connect with a community of voice data contributors.","ⵙ ⴽⵔⴰ ⵏ ⵢⵉⴼⵔⵙ, ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⵣⵓⵔⵜⵎ ⴰⵎⵓⵙⵙⵓ ⵏⵏⵓⵏ ⵜⵎⵎⵣⴷⵉⵎ ⴷ ⴽⵔⴰ ⵏ ⵜⴳⵔⴰⵡⵜ ⵏ ⵉⵎⴰⵔⴰⴳⵏ ⵏ ⵉⵙⴼⴽⴰ ⵉⴳⵕⴹⴰⵏⵏ.","s kra n yifrs, tzmrm ad tzurtm amussu nnun tmmzdim d kra n tgrawt n imaragn n isfka igṛḍann.","س كرا ن ييفرس, تزمرم اد تزورتم اموسسو ننون تممزديم د كرا ن تڭراوت ن يماراڭن ن يسفكا يڭرضانن."
"If you don’t hear from us within a couple of days, reach out at <emailLink>{ $email }</emailLink> and we’ll get back to you!","ⵎⴽ ⴰⵡⵏ ⵓⵔ ⵏⵔⵓⵔ ⴳ ⴽⵔⴰ ⵏ ⵡⵓⵙⵙⴰⵏ ⴷⵔⵓⵙⵏⵉⵏ, ⵏⵢⴰⵍⴽⴰⵎⴰⵜ ⴳ <emailLink>{ $email }</emailLink>, ⵔⴰⴷ ⴰⵡⵏ ⵏⵔⴰⵔ!","mk awn ur nrur g kra n wussan drusnin, nyalkamat g <emailLink>{ $email }</emailLink>, rad awn nrar!","مك اون ور نرور ڭ كرا ن ووسسان دروسنين, نيالكامات ڭ <emailLink>{ $email }</emailLink>, راد اون نرار!"
Could not remove language: language not found,ⵓⵔ ⵏⵣⵎⵉⵔ ⴰⴷ ⵏⵙⵉⵜⵜⵢ ⵜⵓⵜⵍⴰⵢⵜ: ⵓⵔ ⵜⴻⵜⵜⵢⴰⴼⴰ ⵜⵓⵜⵍⴰⵢⵜ,ur nzmir ad nsitty tutlayt: ur tettyafa tutlayt,ور نزمير اد نسيتتي توتلايت: ور ت°تتيافا توتلايت
"<emailFragment>Sign up</emailFragment> to our mailing list to learn how you can take part in campaigns, events and co-design features on Common Voice.","<emailFragment>ⵣⵎⵎⴻⵎ</emailFragment> ⴳ ⵜⵍⴳⴰⵎⵜ ⵏ ⵡⴰⵣⴰⵏ ⵏ ⵉⵎⴰⵢⵍⵏ ⵃⵎⴰ ⴰⴷ ⵜⵍⵎⴷⴷ ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵜⵣⵎⵔⴷ ⴰⴷ ⵜⴷⵔⵓⴷ ⴳ ⵉⵎⵣⵉⵣⵣⵍⵏ, ⵜⵉⵎⵙⴰⵔ ⴷ ⵜⵎⵥⵍⴰⵢ ⵏ ⵓⵙⵖⵉⵡⵙ ⴰⵎⵛⵛⴰⵔ ⴳ ⴽⴰⵎⵏⴼⵓⵢⵙ.","<emailFragment>zmmem</emailFragment> g tlgamt n wazan n imayln ḥma ad tlmdd manmk s rad tzmrd ad tdrud g imzizzln, timsar d tmẓlay n usghiws amshshar g kamnfuys.","<emailFragment>زمم°م</emailFragment> ڭ تلڭامت ن وازان ن يمايلن حما اد تلمدد مانمك س راد تزمرد اد تدرود ڭ يمزيززلن, تيمسار د تمزّلاي ن وسغيوس امششار ڭ كامنفويس."
Skip,ⵙⵙⵉⵏⴼ,ssinf,سسينف
Sign in to send up to { $size },ⴽⵛⵎ ⴰⴼⴰⴷ ⴰⴷ ⵜⴰⵣⵏⴷ ⴰⵔ { $size },kshm afad ad taznd ar { $size },كشم افاد اد تازند ار { $size }
You're helping Common Voice reach our daily sentence goals!,ⵍⴰ ⵜⴻⵜⵜⴰⵡⵙⴷ ⵉ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴰⴷ ⵢⴰⵡⴹ ⵉⵡⵜⵜⴰⵙⵏ ⵏⵏⵖ ⵉⴽⵓⵢⴰⵙⵙⵏ ⵏ ⵜⵡⵉⵏⴰⵙ!,la tettawsd i kamnfuys ad yawḍ iwttasn nngh ikuyassn n twinas!,لا ت°تتاوسد ي كامنفويس اد ياوض يوتتاسن ننغ يكوياسسن ن تويناس!
Taiwanese (Minnan),ⵜⴰⵟⴰⵢⵡⴰⵏⵉⵜ (ⵎⵉⵏⵏⴰⵏ),taṭaywanit (minnan),تاطايوانيت (ميننان)
Contribute sentences,ⴰⵔⴳ ⵜⵉⵡⵉⵏⴰⵙ,arg tiwinas,ارڭ تيويناس
Play/Stop,ⵖⵔ/ⵙⴱⴷⴷ,ghr/sbdd,غر/سبدد
decryption,ⵜⵓⴽⴽⵙⴰ ⵏ ⵓⵏⵜⴰⵍ,tukksa n untal,توككسا ن ونتال
Help create Common Voice’s first target segment in { $locale },ⴰⵡⵙ ⴳ ⵓⵙⵏⴼⵍⵓⵍ ⵏ ⵜⵓⵟⵟⵓⵜ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⵉⵜⵜⵡⴰⵜⵜⵙⵏ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵙ { $locale },aws g usnflul n tuṭṭut tamzwarut ittwattsn n kamnfuys s { $locale },اوس ڭ وسنفلول ن توططوت تامزواروت يتتواتتسن ن كامنفويس س { $locale }
Overall Accuracy,ⴰⵏⵖⴰⴷ ⴰⵎⴰⵜⴰⵢ,anghad amatay,انغاد اماتاي
How do I stay in touch?,ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵇⵇⵉⵎⵖ ⴳ ⵓⵏⵢⴰⵍⴽⴰⵎ?,manmk s rad qqimgh g unyalkam?,مانمك س راد ققيمغ ڭ ونيالكام?
"Now that you know a little bit more about Common Voice, why not try it out? Click on the microphone icon to start reading sentences aloud. <br/><br/>If you prefer to review other people's voice contributions, click on the play icon. You’ll help confirm that recordings match the sentences written on screen.","ⴷⵖⵉ ⴳ ⵜⵙⵙⵏⵎ ⵉⵎⵉⴽⴽ ⵓⴳⴳⴰⵔ ⵅⴼ ⴽⴰⵎⵏⴼⵓⵢⵙ, ⵎⴰⵅ ⴰⴷ ⵜ ⵓⵔ ⵜⴰⵔⵎⵎ? ⴽⵍⵉⴽⵢⴰⵜ ⵅⴼ ⵜⵢⴽⵓⵏⵜ ⵏ ⵓⵎⵉⴽⵔⵓⴼⵓⵏ ⵃⵎⴰ ⴰⴷ ⵜⵙⵙⵏⵜⵉⵎ ⵜⵉⵖⵔⵉ ⵏ ⵜⵡⵉⵏⴰⵙ ⵙ ⵓⵥⴰⴳⵓ. <br/><br/>ⵎⴽ ⵖⵓⵔⵓⵏ ⵢⵓⴼ ⴰⴷ ⵜⵙⵙⵉⵔⵎⵎ ⴰⵔⵔⴰⴳⵏ ⵉⴳⵕⴹⴰⵏⵏ ⵏ ⵎⴷⴷⵏ ⵢⴰⴹⵏⵉⵏ, ⴽⵍⵉⴽⵢⴰⵜ ⵅⴼ ⵜⵢⴽⵓⵏⵜ ⵏ ⵖⵔ. ⵔⴰⴷ ⵜⴰⵡⵙⵎ ⴳ ⵓⵙⵙⴷⴻⴷ ⵏ ⵓⵏⴳⴰⴷⴷⴰ ⵏ ⵉⵙⵓⵙⴰⵔ ⴰⴽⴷ ⵜⵡⵉⵏⴰⵙ ⵜⵜⵢⴰⵔⴰⵏⵉⵏ ⴳ ⵓⵎⵉⵥⴰⵕ.","dghi g tssnm imikk uggar khf kamnfuys, makh ad t ur tarmm? klikyat khf tykunt n umikrufun ḥma ad tssntim tighri n twinas s uẓagu. <br/><br/>mk ghurun yuf ad tssirmm arragn igṛḍann n mddn yaḍnin, klikyat khf tykunt n ghr. rad tawsm g ussded n ungadda n isusar akd twinas ttyaranin g umiẓaṛ.","دغي ڭ تسسنم يميكك وڭڭار خف كامنفويس, ماخ اد ت ور تارمم? كليكيات خف تيكونت ن وميكروفون حما اد تسسنتيم تيغري ن تويناس س وزّاڭو. <br/><br/>مك غورون يوف اد تسسيرمم ارراڭن يڭرضانن ن مددن ياضنين, كليكيات خف تيكونت ن غر. راد تاوسم ڭ وسسد°د ن ونڭاددا ن يسوسار اكد تويناس تتيارانين ڭ وميزّار."
Re-record clip,ⴰⵍⵙ ⴰⵙⵓⵙⵔ ⵏ ⵜⵓⵙⵙⵉⴼⵜ,als asusr n tussift,الس اسوسر ن توسسيفت
Search for answers,ⵔⵣⵓ ⵅⴼ ⵜⵎⵔⵓⵔⴰ,rzu khf tmrura,رزو خف تمرورا
